Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-26.871958	13.928338	5.5147676	-62.59414	59.44578	-0.80817205	0.4904911	0.21833144	-3.5292482	10000	-2.746582e-08	403.3755	0.00027191927	-273.56702	3.6908915	0.024719272	0.2482	1.0	193.62592315673828
2	-26.672531	13.605841	-1.8097687	-65.89842	56.88506	-16.247223	4.1120396	-6.1283684	-31.211962	15000	6.1035155e-09	117.1856	0.04449943	-21.453354	3.6922612	0.1095875	0.5102	1.0	387.3670656681061
3	-27.468592	14.091817	-6.0151424	-66.33074	58.127907	-17.756512	3.6538517	-8.389202	-31.606276	20000	1.525879e-08	116.594986	0.0076301405	-43.863686	3.6933007	0.020763494	0.1986	1.0	580.4811806678772
4	-24.396973	14.518252	-1.7213633	-63.265926	54.824177	-17.206102	4.686262	0.40745914	-33.0095	25000	0.0	77.56815	0.013575687	-43.19579	3.6774142	0.033206426	0.2626	1.0	777.0461995601654
5	-26.661943	15.1037	6.0370493	-62.51934	57.32184	-16.189272	7.6167126	5.090651	-38.23449	30000	-3.3569336e-08	58.247444	-0.02866212	-26.759098	3.6811922	0.013333542	0.1538	19.0	970.5815346240997
6	-24.698421	17.239298	14.857874	-67.07971	54.76923	-17.421577	9.41694	10.802923	-41.507797	35000	1.8310548e-08	49.43309	-0.02404974	-20.613487	3.669755	0.016439116	0.1694	15.0	1165.276555776596
7	-22.478428	12.62391	-0.27420127	-51.510452	55.322224	-17.144138	9.927318	5.755624	-45.045235	40000	-2.746582e-08	31.351288	-0.033501964	-15.565722	3.672403	0.01616183	0.2018	22.0	1359.6934802532196
8	-24.801476	13.326608	3.3440137	-65.98412	53.085106	-14.702205	8.520269	5.6856394	-38.948425	45000	1.2207031e-08	36.442745	-0.027396575	-14.982954	3.6704042	0.016728152	0.1826	15.0	1554.6648499965668
9	-28.324957	15.076162	0.55982864	-66.84841	60.646343	-17.738482	8.97417	4.71004	-41.821934	50000	-6.752014e-08	41.835434	-0.018299453	-21.584375	3.6653414	0.017480114	0.1376	8.0	1748.1625661849976
10	-28.132545	13.859487	4.015281	-56.76591	60.012047	-18.687378	8.612234	3.4891572	-41.484913	55000	-6.103516e-08	33.80346	-0.025457812	-14.242037	3.6569366	0.0133018475	0.1518	12.0	1944.6701021194458
11	-25.281582	12.845581	-4.9233747	-57.344383	57.264366	-16.968046	9.036457	5.2241554	-40.577988	60000	3.967285e-08	22.344454	-0.03602209	-10.320404	3.6699214	0.016041681	0.1908	21.0	2142.8429250717163
12	-23.313944	14.000292	4.426119	-64.87482	58.2	-14.076865	8.132235	8.916026	-38.53244	65000	-3.051758e-08	36.268314	-0.043552134	-18.04689	3.6674578	0.015726669	0.2438	32.0	2341.0118198394775
13	-24.95259	12.9113	-3.055177	-66.54881	57.091953	-15.776186	8.645308	8.284487	-45.028957	70000	-3.0517577e-09	35.56394	-0.015959283	-19.030678	3.7015028	0.016451316	0.1202	6.0	2539.2139098644257
14	-26.177332	15.765624	12.105109	-60.5857	58.164707	-18.769613	10.62334	5.1928515	-49.237	75000	3.6621095e-08	33.52981	-0.01799285	-13.525423	3.6726446	0.015818622	0.1638	10.0	2737.5093834400177
15	-24.060528	14.382876	10.770501	-57.35248	59.710842	-15.545372	8.696458	12.276585	-42.052704	80000	-3.967285e-08	21.838936	-0.025087507	-11.815994	3.6334996	0.0140263	0.1722	11.0	2935.3214662075043
16	-23.015598	14.411597	11.967426	-80.66298	58.788235	-17.094446	10.057842	10.760785	-47.890465	85000	5.0354004e-08	28.272438	-0.021175204	-14.051326	3.6340914	0.015297029	0.1738	9.0	3133.5731167793274
17	-24.077972	14.309695	5.424284	-64.21253	58.658825	-15.36845	10.234026	10.539443	-45.482006	90000	6.713867e-08	30.350487	-0.016907055	-16.842525	3.650393	0.018854981	0.199	7.0	3331.5852167606354
18	-28.725145	13.606606	2.095791	-56.729504	64.792206	-18.131985	9.295438	5.103243	-43.844578	95000	-3.051758e-08	28.977282	-0.027155396	-15.531161	3.6299784	0.016415007	0.1734	12.0	3528.2903537750244
19	-24.890808	16.798306	0.4048116	-82.81734	60.444443	-15.490724	8.986199	13.172934	-38.373722	100000	-9.918213e-08	53.527325	-0.015267574	-38.24663	3.6440098	0.012959192	0.1164	5.0	3725.8204514980316
20	-23.933859	15.104248	6.9170814	-68.38248	60.939026	-16.602007	10.739821	8.816256	-47.34352	105000	-7.019043e-08	31.295609	-0.025226703	-20.746857	3.6075976	0.016082285	0.1692	12.0	3923.7434227466583
21	-24.40935	14.5882225	1.8557806	-62.277077	57.717648	-16.716988	9.972759	8.721003	-43.34066	110000	-1.2207031e-08	23.905212	-0.024014007	-12.69378	3.6283	0.016211104	0.1638	10.0	4122.036566495895
22	-22.20892	14.98475	6.425509	-51.043194	60.75	-15.634509	10.145284	7.590967	-50.335037	115000	1.8310548e-08	29.21845	-0.020555988	-16.39786	3.592016	0.018589642	0.165	9.0	4320.9277329444885
23	-25.26743	13.64903	-4.4346986	-53.2531	62.0375	-17.852648	9.63481	8.972768	-43.41523	120000	5.8746338e-08	19.781662	-0.022621412	-12.208113	3.5602882	0.014674576	0.1464	9.0	4519.374553203583
24	-24.343624	14.931465	15.335267	-60.670662	62.886074	-14.980608	9.616482	14.849674	-44.90865	125000	2.4414062e-08	41.17382	-0.021142151	-19.354671	3.6036055	0.01946622	0.1812	9.0	4718.113667726517
25	-24.065037	14.745926	-0.08938287	-56.884342	65.46667	-15.395882	9.749567	8.670877	-46.62493	130000	-3.8146974e-09	24.322086	-0.020933872	-14.120831	3.6081445	0.0140065	0.1704	8.0	4916.592900753021
26	-24.35752	14.964264	-3.2237763	-61.367653	64.03846	-16.181646	8.901919	8.607993	-48.84995	135000	-1.525879e-08	23.73339	-0.023512693	-14.596976	3.5740216	0.014747858	0.1716	10.0	5115.108674526215
27	-26.234852	14.615959	0.19684823	-60.735516	65.22369	-16.178219	9.980037	14.907601	-48.435993	140000	4.8828124e-08	33.64788	-0.018400686	-22.71138	3.5798366	0.016896999	0.1506	7.0	5313.5723395347595
28	-27.440023	16.833021	0.7411246	-80.59884	70.957146	-17.397345	10.462595	10.33402	-55.823986	145000	-3.3569336e-08	36.748547	-0.02253574	-24.336372	3.6013093	0.018030398	0.168	8.0	5510.780583620071
29	-28.104937	18.370445	1.5801808	-86.14755	78.269844	-16.494942	9.237829	14.941809	-42.287224	150000	-3.967285e-08	40.567207	-0.018623509	-24.948612	3.59192	0.013188286	0.1528	9.0	5707.4752197265625
30	-26.226091	17.819399	-3.6491082	-86.78575	66.54667	-15.9205	8.833838	14.135994	-47.79016	155000	-3.8146972e-08	37.26769	-0.026612256	-27.022121	3.6099448	0.016752146	0.1938	13.0	5904.860724210739
31	-26.748215	13.95625	-1.9308054	-58.709892	81.18033	-17.277431	10.1433	5.741079	-48.39922	160000	4.8828124e-08	52.497574	-0.018465526	-37.9339	3.5890946	0.017623508	0.161	8.0	6098.562981367111
32	-25.117453	19.271646	6.008361	-76.88873	75.36364	-16.49843	11.167191	11.400239	-53.618114	165000	-7.324219e-08	33.703903	-0.012858492	-25.11261	3.6017046	0.018144632	0.1254	5.0	6292.417646884918
33	-27.15349	16.02054	-2.349376	-81.097565	78.935486	-16.77544	8.949993	8.470571	-45.418655	170000	5.79834e-08	30.791382	-0.013488963	-18.825378	3.5604043	0.014715402	0.1322	5.0	6485.91833281517
34	-24.12852	15.379682	2.7847219	-64.11981	70.7	-14.961437	8.861583	6.698786	-41.99812	175000	-8.5449216e-08	25.107763	-0.02760479	-17.259733	3.5895636	0.01543782	0.1752	15.0	6681.002910614014
35	-22.367397	13.869647	2.2304637	-62.35295	67.02702	-15.694208	9.72423	9.615123	-48.490456	180000	1.2207031e-08	22.98781	-0.018985234	-15.441532	3.5899508	0.019415976	0.1692	8.0	6875.561249256134
36	-23.76155	15.782654	2.2748764	-66.27602	76.52308	-15.282449	8.9673	6.0441804	-44.299515	185000	5.0354004e-08	16.382008	-0.022667404	-10.440791	3.5910919	0.018958539	0.1786	10.0	7069.105585336685
37	-22.25677	15.751299	-0.8056023	-65.18137	70.40845	-14.179431	9.633359	6.9610577	-46.48874	190000	-3.0517577e-09	27.395624	-0.019895013	-17.719883	3.5699368	0.018779773	0.1592	8.0	7263.501715183258
38	-24.95078	16.810017	-3.4125173	-80.30576	70.6	-16.538513	9.98865	6.619151	-50.42853	195000	-8.5449216e-08	23.61906	-0.012669891	-14.653722	3.5976243	0.012369351	0.103	4.0	7458.072160720825
39	-22.154161	16.028673	7.4812713	-75.637566	72.05797	-14.956821	9.17906	12.37034	-41.33674	200000	-6.5612795e-08	26.99114	-0.024695322	-20.065626	3.5770695	0.017249832	0.1584	12.0	7652.188889026642
40	-23.471878	14.105044	0.31927776	-61.785946	74.51515	-15.477216	10.371374	5.427058	-51.624493	205000	3.3569336e-08	29.457443	-0.010469867	-19.882835	3.5478516	0.018760843	0.192	6.0	7846.406013011932
41	-24.171686	16.83492	-3.0688012	-69.48355	81.91803	-16.197622	10.0765	3.9681504	-45.94513	210000	-1.0986328e-07	18.103569	-0.015782563	-10.58441	3.557263	0.01591601	0.1334	6.0	8039.366313695908
42	-22.584925	15.440076	-2.7086978	-89.67617	71.85507	-15.00055	9.9882145	5.899526	-63.046623	215000	-3.3569336e-08	25.465714	-0.016274938	-20.088331	3.5301192	0.02138989	0.1694	7.0	8233.847892999649
43	-26.9238	14.321312	-1.0859146	-72.337494	85.81035	-16.31716	9.082881	4.1326895	-50.368362	220000	-4.043579e-08	27.286957	-0.02354901	-17.834652	3.5441742	0.016091399	0.1726	9.0	8427.000458240509
44	-25.240345	15.911679	-0.44001287	-64.4003	75.13636	-15.247811	9.370758	8.560604	-40.167576	225000	9.155274e-09	22.330133	-0.03086589	-15.818581	3.5289192	0.015203276	0.198	17.0	8620.714208126068
45	-25.42845	16.231981	-0.114711896	-75.84981	83.0	-15.689814	8.843116	10.796454	-51.00029	230000	-7.6293944e-08	25.931189	-0.004743924	-18.451767	3.5781598	0.0019525532	0.0096	1.0	8813.713519334793
46	-20.3678	16.381659	4.5793753	-85.39348	76.06154	-14.030763	10.15851	9.62716	-49.99859	235000	6.408691e-08	17.442469	-0.0031919647	-13.291073	3.5428147	0.0048771664	0.064	1.0	9006.830617666245
47	-25.711386	18.048243	7.4894056	-84.13293	85.534485	-14.60787	8.533933	3.3966174	-47.742184	240000	-2.4414062e-08	36.5538	-0.00026323242	-25.720737	3.5081942	0.0064785513	0.1084	1.0	9199.801590442657
