Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-24.258593	33.003624	28.565706	-60.16268	167.10345	-0.45292696	0.37793458	0.18774544	-2.7195864	10000	9354.754	311.1333	0.0	0.0	0.0	0.0	0.0	0.0	190.27979493141174
2	-22.534435	32.378036	23.946999	-61.371243	173.71428	-0.80021536	1.0113991	-0.07460102	-6.7616987	15000	888.67944	295.2364	0.0	0.0	0.0	0.0	0.0	0.0	377.79113149642944
3	-31.04201	32.370132	29.96	-61.274235	138.37143	-1.2958057	1.8450623	0.03425937	-11.684158	20000	742.2678	395.5266	0.0	0.0	0.0	0.0	0.0	0.0	566.0284535884857
4	-30.667051	31.31522	24.340174	-62.21348	134.8108	-2.026311	2.6151485	-0.104681	-13.963254	25000	491.57288	304.22556	0.0	0.0	0.0	0.0	0.0	0.0	754.1094691753387
5	-42.68376	27.159147	20.622602	-74.96058	119.87805	-5.1890507	4.372479	-0.013341619	-33.10025	30000	2709.0122	530.8339	0.0	0.0	0.0	0.0	0.0	0.0	1285.461853504181
6	-35.588882	19.745745	21.205751	-63.956535	196.68	-8.478202	5.842447	-0.65530485	-41.401546	35000	1796.5913	146.84795	0.0	0.0	0.0	0.0	0.0	0.0	1482.2104029655457
7	-44.396587	19.695715	12.587244	-65.50153	121.68293	-11.821011	8.219615	-1.535514	-59.472504	40000	1856.4335	213.88435	0.0	0.0	0.0	0.0	0.0	0.0	1680.1204135417938
8	-30.445503	27.55076	25.72454	-61.670048	165.16667	-11.320358	9.175403	-1.5956975	-59.491432	45000	1106.0826	244.72858	0.0	0.0	0.0	0.0	0.0	0.0	1876.9528667926788
9	-31.067154	25.507551	17.021246	-61.28303	165.17241	-7.149261	7.6907635	-0.6086731	-76.007935	50000	702.71344	170.95717	0.0	0.0	0.0	0.0	0.0	0.0	2073.9537806510925
10	-44.871452	21.28018	12.013573	-67.66813	127.97369	-10.499872	9.80837	-0.2629859	-69.61204	55000	1305.9707	229.9559	0.0	0.0	0.0	0.0	0.0	0.0	2714.1855149269104
11	-31.024258	24.137598	-2.5310094	-66.70017	187.38461	-9.023282	9.781759	-0.6652901	-79.58571	60000	775.7641	112.2953	0.0	0.0	0.0	0.0	0.0	0.0	2915.314477920532
12	-47.81435	19.196198	-4.158837	-67.53972	98.791664	-13.916542	13.130873	-0.5000852	-82.441	65000	1277.4218	181.17094	0.0	0.0	0.0	0.0	0.0	0.0	3119.6869428157806
13	-40.472363	22.885595	-0.85298306	-63.77813	129.94737	-11.892421	13.597331	-0.8843958	-74.48687	70000	818.9572	136.24115	0.0	0.0	0.0	0.0	0.0	0.0	3322.9972693920135
14	-41.775032	24.62218	24.698473	-65.00302	124.1579	-13.543338	14.324923	-1.0283868	-84.477936	75000	856.6299	161.11185	0.0	0.0	0.0	0.0	0.0	0.0	3525.333660364151
15	-32.707066	23.650156	-1.0640637	-62.43885	168.44827	-10.653998	12.110407	-0.6848881	-73.21745	80000	580.5417	80.05898	0.0	0.0	0.0	0.0	0.0	0.0	4235.947650671005
16	-30.75812	24.385117	26.233799	-63.321896	174.92857	-9.935994	10.156134	-0.36317205	-61.66411	85000	817.7031	149.7502	0.0	0.0	0.0	0.0	0.0	0.0	4436.430495262146
17	-37.581116	26.71014	30.47707	-64.00969	143.69698	-10.385973	12.872909	-0.202048	-77.670135	90000	622.3629	145.80396	0.0	0.0	0.0	0.0	0.0	0.0	4637.653566598892
18	-38.109528	27.459467	33.983635	-66.51682	137.08571	-11.874478	12.532793	-0.16477445	-68.79678	95000	1047.88	236.18933	0.0	0.0	0.0	0.0	0.0	0.0	4839.529113531113
19	-20.201838	28.397373	23.826077	-63.947342	207.04347	-9.261973	10.720237	-0.05737099	-82.494255	100000	710.7345	214.91882	0.0	0.0	0.0	0.0	0.0	0.0	5039.300117492676
20	-34.608036	22.311045	2.5722075	-63.82652	174.17857	-7.040471	10.540984	0.5444474	-69.77065	105000	657.65137	111.51776	0.0	0.0	0.0	0.0	0.0	0.0	5718.358117818832
