Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	5.8825045	34.29902	49.164112	-38.7751	83.26667	-5.0516076	11.663194	6.277829	-45.997322	10000	-1.586914e-07	1561.1118	-0.024222456	-577.5109	20.936438	0.018758103	0.1294	7.0	175.14794898033142
2	9.271251	34.083153	49.773106	-36.645496	87.05357	7.0738335	8.631052	23.504244	-23.225832	15000	1.6479493e-07	1039.8036	-0.019940933	-354.19885	20.94823	0.021491295	0.1494	7.0	348.4949417114258
3	11.30863	35.101105	49.618362	-41.340588	78.14286	15.070518	9.971504	44.851997	-34.090527	20000	1.0681153e-07	757.902	-0.015366726	-270.30438	20.92277	0.015413822	0.1148	3.0	523.3974483013153
4	15.79531	33.12776	50.182247	-29.187265	95.67308	19.525896	14.116745	55.460175	-39.405838	25000	1.2207031e-08	490.0941	-0.013414752	-189.27722	20.90993	0.022316312	0.1632	5.0	696.800080537796
5	18.019562	32.924988	49.334503	-36.540295	92.64151	27.798138	15.422273	68.10894	-37.551174	30000	6.1035155e-09	351.5567	-0.016342724	-111.037445	20.899984	0.01903027	0.1332	5.0	889.6962325572968
6	3.979881	34.29461	49.46696	-37.09603	74.0	23.890482	21.676683	70.29573	-41.97668	35000	5.493164e-08	334.83426	-0.014709259	-81.1591	20.966404	0.019331472	0.1482	4.0	1064.9218995571136
7	9.1778755	34.115673	49.650135	-37.711193	92.51852	25.447674	22.409847	69.58255	-48.94176	40000	4.577637e-09	247.1505	-0.02765466	-70.42505	20.944666	0.018853653	0.1756	11.0	1237.6199514865875
8	23.491375	31.641506	49.471703	-36.336243	107.5	34.004242	17.476685	65.285835	-49.706806	45000	-3.3569336e-08	244.7563	-0.023131518	-57.082993	20.947798	0.01738642	0.1528	11.0	1409.7839868068695
9	17.397472	33.105385	50.13152	-35.837044	95.86275	32.21665	20.346298	71.11089	-41.941223	50000	-3.051758e-08	217.75987	-0.024800379	-44.584335	20.903929	0.017117986	0.1672	9.0	1582.5778799057007
10	14.370341	34.195915	49.5719	-35.156963	85.55173	32.015915	21.189705	69.008896	-50.862232	55000	-1.0375977e-07	195.2838	-0.023214871	-55.060196	20.929913	0.017597578	0.1328	7.0	1785.8254714012146
