Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-6.0781417	14.037694	8.153176	-22.298277	178.03572	-0.4567789	0.35503805	0.170411	-2.5261009	10000	12158.737	46.001804	0.0	0.0	0.0	0.0	0.0	0.0	191.18179965019226
2	-6.999032	14.162953	7.729687	-22.212967	165.6	-0.42131582	0.67936236	0.09929663	-4.305892	15000	1030.786	40.308056	0.0	0.0	0.0	0.0	0.0	0.0	382.07020449638367
3	-10.451225	13.848572	7.9113636	-22.587172	134.91891	-0.54226184	1.3823013	0.69126046	-9.276096	20000	644.06964	51.77022	0.0	0.0	0.0	0.0	0.0	0.0	573.7105453014374
4	-11.803085	13.417068	8.145894	-22.613897	123.410255	-1.4658744	3.017111	0.51275206	-16.839094	25000	483.4693	44.050957	0.0	0.0	0.0	0.0	0.0	0.0	765.9742772579193
5	-17.173414	9.580143	6.239424	-23.228525	90.333336	-3.3470087	4.3545003	1.4061204	-29.412125	30000	3149.5667	60.4741	0.0	0.0	0.0	0.0	0.0	0.0	1166.400898218155
6	-9.325253	12.790738	9.135407	-22.655962	161.9	-5.9811053	5.0259805	0.2103597	-42.45301	35000	2218.6042	37.759567	0.0	0.0	0.0	0.0	0.0	0.0	1367.9393751621246
7	-6.581526	13.633013	9.713048	-21.7631	165.53334	-2.6877074	3.6910977	1.0207143	-18.532253	40000	1452.4292	43.044674	0.0	0.0	0.0	0.0	0.0	0.0	1569.683798789978
8	-8.998178	13.532987	10.22772	-23.377172	152.12903	-1.0466238	3.5493357	2.178238	-18.423044	45000	1213.8169	31.805431	0.0	0.0	0.0	0.0	0.0	0.0	1770.959653377533
9	-7.953139	14.4667	10.99879	-23.109774	147.28125	-0.9856166	4.1082287	2.347137	-22.3541	50000	897.1826	38.21321	0.0	0.0	0.0	0.0	0.0	0.0	1972.7436077594757
10	-8.6364	12.958415	9.358582	-21.673145	153.21875	-0.7365903	4.785066	3.0466182	-27.05407	55000	1346.3977	19.280884	0.0	0.0	0.0	0.0	0.0	0.0	2649.2283504009247
11	-9.649445	13.405424	9.86158	-22.753204	149.9375	0.010519873	4.5810437	3.66422	-23.155312	60000	1086.3138	26.556068	0.0	0.0	0.0	0.0	0.0	0.0	2850.3315460681915
12	-10.307616	13.033912	7.01904	-21.865509	144.38235	-0.47708908	5.0712094	3.4818544	-27.276209	65000	969.1294	27.084196	0.0	0.0	0.0	0.0	0.0	0.0	3052.696779489517
13	-9.0784	13.614606	7.1233387	-23.572783	154.74193	-0.5261979	4.7739625	3.078602	-31.101566	70000	859.6344	26.358063	0.0	0.0	0.0	0.0	0.0	0.0	3254.412763118744
14	-4.178676	12.574982	6.3088603	-23.82301	208.91304	0.41244003	4.3257265	3.3480287	-33.546333	75000	684.8067	15.925236	0.0	0.0	0.0	0.0	0.0	0.0	3455.133549451828
15	-10.672259	13.349332	7.5662284	-22.734482	142.28572	-0.392133	5.433364	4.0992007	-27.160072	80000	612.86115	24.856966	0.0	0.0	0.0	0.0	0.0	0.0	4106.9434406757355
16	-4.6608973	13.404972	11.063446	-21.712685	179.62962	0.17963722	5.185177	3.1875088	-39.358162	85000	738.95276	16.394405	0.0	0.0	0.0	0.0	0.0	0.0	4308.084536552429
17	-6.788075	13.175633	6.7964473	-22.424854	174.64285	1.0167911	4.180649	5.66272	-26.293854	90000	582.30914	13.703218	0.0	0.0	0.0	0.0	0.0	0.0	4509.916829586029
18	-7.8317804	13.420997	7.0404677	-24.060003	168.60715	0.32710114	4.9498296	3.733688	-29.996864	95000	656.53424	12.822135	0.0	0.0	0.0	0.0	0.0	0.0	4711.682585954666
19	-7.1890798	13.601155	7.4577427	-22.786814	162.51724	0.5426013	4.4075046	4.4658556	-35.44833	100000	645.77386	17.437677	0.0	0.0	0.0	0.0	0.0	0.0	4913.930140256882
20	-3.9461858	12.736639	6.726705	-23.050194	206.43478	0.84547615	4.2113824	3.9907186	-28.818684	105000	575.85596	11.694378	0.0	0.0	0.0	0.0	0.0	0.0	5555.717706918716
1	-9.279604	13.460896	9.84515	-22.747353	143.0	-0.5325239	5.6422963	5.1723824	-25.652752	10000	1.8310548e-08	27.487537	-0.03897619	-4.281685	22.943224	0.0155553175	0.1318	26.0	5726.638267040253
2	-7.4403925	13.270954	8.529786	-22.439894	172.27586	0.32169488	4.822269	6.671058	-26.965895	15000	1.525879e-08	35.04567	-0.038597163	-7.5027885	22.941425	0.015296234	0.1638	30.0	5896.608787059784
3	-10.404866	13.045704	11.170264	-23.194796	140.91176	-0.624129	5.5942545	4.969754	-28.428707	20000	1.2207031e-08	23.924646	-0.033758458	-3.0007267	22.913359	0.015169361	0.135	24.0	6067.247619628906
4	-4.6478124	12.661166	6.2690177	-21.84015	198.875	0.16059919	4.6751466	4.286155	-29.06728	25000	-1.8310548e-08	19.968409	-0.046589885	-5.871126	22.974535	0.010548172	0.2028	79.0	6236.396687746048
5	-7.7748427	13.42184	10.466908	-23.407251	162.2	0.38893926	4.8049684	6.1294684	-21.64274	30000	-2.1362304e-08	26.16372	-0.031295154	-7.061926	22.935455	0.015476164	0.119	19.0	6767.0049386024475
6	-3.2169266	12.449924	10.414319	-22.38437	216.95454	1.1121416	4.143558	5.7476006	-29.08936	35000	-2.746582e-08	15.021563	-0.037181437	-3.4534264	22.948713	0.015457165	0.144	33.0	6934.410644054413
7	-5.8921146	12.969648	9.851703	-22.142666	186.84616	-0.12596431	5.134376	6.2665477	-32.083515	40000	-1.0986328e-07	26.28733	-0.03902265	-5.4515495	22.947306	0.01534057	0.1324	30.0	7102.240572929382
8	-6.7709827	12.82453	6.146727	-22.239357	183.14815	0.4034997	4.2820773	6.1510634	-24.976433	45000	-3.051758e-08	20.062473	-0.04538591	-6.170903	22.92507	0.015181663	0.1464	49.0	7270.569498538971
9	-12.883911	12.174431	6.7014976	-22.790222	119.268295	-1.7190223	7.2431192	7.8849697	-39.884438	50000	1.525879e-08	26.400066	-0.02918679	-5.886284	22.931774	0.016294913	0.1586	14.0	7440.496813058853
10	-7.1329446	13.15824	7.9937787	-22.675331	177.92857	-0.5034038	5.299866	6.313301	-31.346529	55000	1.525879e-08	19.802134	-0.029818881	-4.1781034	22.905348	0.015577408	0.164	18.0	8001.128859758377
11	-4.3496995	12.849644	8.289346	-21.52735	199.0	0.30124933	4.532657	7.3224535	-38.436214	60000	2.4414062e-08	16.607046	-0.04146588	-4.784335	22.877048	0.015250124	0.1528	41.0	8168.886270523071
12	-7.8227835	13.133254	10.362587	-21.633091	154.59375	0.6013879	4.5142655	7.0532007	-24.215899	65000	-3.0517577e-09	20.170422	-0.04496692	-4.9731464	22.905598	0.015150216	0.1854	61.0	8337.078805923462
13	-7.5195465	13.402775	10.625995	-23.792137	172.13792	-0.16628501	5.0410213	5.394293	-27.817427	70000	2.746582e-08	20.091135	-0.032147113	-3.510683	22.906265	0.01561593	0.1364	23.0	8505.19147157669
14	-8.915489	13.341049	10.997913	-23.49362	150.0303	-0.38542867	6.2562985	4.972552	-41.02407	75000	4.577637e-09	14.676418	-0.046515144	-1.9111156	22.875889	0.012654248	0.1608	79.0	8673.838690280914
15	-7.6925	13.15812	10.728838	-21.787342	163.03334	-0.40380517	6.24724	6.863702	-43.530987	80000	0.0	14.651192	-0.0282469	-4.654148	22.891434	0.016671015	0.1422	16.0	9253.88324379921
16	-9.062228	12.897652	6.058265	-22.830902	170.53572	-0.33191103	5.977344	6.9940114	-32.670467	85000	0.0	33.863907	-0.037227534	-7.689747	22.853415	0.015305173	0.141	28.0	9421.860036373138
17	-5.433912	12.749729	5.8082356	-21.825125	194.24	-1.1642491	5.8898554	5.2477765	-37.408886	90000	1.525879e-08	15.421623	-0.049721446	-6.397172	22.859497	0.013352078	0.1672	79.0	9589.441556453705
18	-8.169988	13.152737	6.5270267	-22.551668	169.35715	-0.45920035	5.6312513	7.401516	-36.770977	95000	8.010864e-09	19.45255	-0.049744297	-3.393835	22.864124	0.015249826	0.1924	79.0	9757.538179636002
19	-8.697026	13.048411	9.716065	-22.964622	160.19354	-0.6523006	5.992611	7.237438	-34.909767	100000	1.5258789e-09	17.513002	-0.048193336	-4.117943	22.84566	0.015136772	0.1794	66.0	9926.377852916718
20	-6.5191298	13.437829	11.057157	-21.466105	166.4	-0.15227146	5.167135	7.666581	-35.813923	105000	0.0	25.714512	-0.048699517	-6.2850685	22.813778	0.01448013	0.1918	79.0	10474.890866041183
21	-9.591344	13.205055	9.446594	-21.848536	142.54286	-0.7921834	6.413928	7.6649375	-30.282375	110000	6.1035155e-09	29.715073	-0.027661696	-8.289227	22.78542	0.016031766	0.1498	15.0	10644.014522314072
22	-7.540954	12.96955	5.948612	-23.766064	178.25	-0.5342646	6.037063	6.379626	-38.455215	115000	2.5939942e-08	15.801067	-0.037049275	-4.359271	22.775387	0.015341039	0.1556	25.0	10811.681144475937
23	-9.423247	12.973993	7.756586	-23.563082	153.93549	-1.6713635	6.645526	6.7003093	-33.52318	120000	3.5095216e-08	26.500175	-0.040796924	-6.653183	22.768152	0.015357978	0.167	30.0	10980.304582595825
24	-11.736084	12.942009	10.416418	-23.435503	131.27777	-1.4891945	7.238403	7.8030677	-35.713367	125000	6.1035155e-09	20.10118	-0.043922625	-4.014927	22.798544	0.015374423	0.1598	46.0	11149.839918136597
25	-7.714267	13.037423	8.715166	-21.603495	163.16667	-0.8350524	6.754152	7.477488	-38.983776	130000	-1.2207031e-08	22.889078	-0.04041037	-10.168523	22.746351	0.015261264	0.1634	37.0	11708.379877090454
26	-3.3694441	12.551353	9.633179	-22.469564	199.58333	1.2548437	3.4127889	8.557202	-19.887196	135000	-1.5258789e-09	15.294105	-0.042628318	-3.212081	22.773958	0.012509122	0.1554	79.0	11875.946119785309
27	-9.565755	13.7846155	11.172905	-23.615814	138.52777	-0.29980892	5.745465	8.395875	-25.763262	140000	-1.2207031e-08	24.29594	-0.03894095	-5.5483723	22.768446	0.015231744	0.1476	32.0	12045.297417879105
28	-6.9434123	13.15382	8.397839	-22.538248	172.42857	0.50237656	6.012234	8.038263	-40.499424	145000	9.155274e-09	15.462447	-0.025372528	-3.4438725	22.771181	0.01730423	0.1552	12.0	12213.2370865345
29	-6.413259	13.434222	10.163014	-23.289072	182.0	-0.47961715	6.343127	6.6741023	-37.98778	150000	4.7302247e-08	14.7534485	-0.03860009	-3.5502577	22.710827	0.015280563	0.127	40.0	12381.040631532669
30	-1.6333146	11.867715	10.207604	-21.82939	225.22728	1.2979304	4.2390957	8.344266	-27.81622	155000	6.866455e-09	6.5773554	-0.041032266	-1.7551956	22.723879	0.014723223	0.1834	79.0	13001.020694494247
31	-6.7247005	13.523753	9.159943	-24.576332	178.18518	0.30833882	5.545404	8.775281	-29.895573	160000	-6.1035155e-09	18.395365	-0.03497024	-6.0143404	22.696653	0.015722228	0.1352	28.0	13169.32717514038
32	-5.9482007	13.137253	10.399178	-23.086643	189.61539	0.111834414	4.780231	7.804031	-25.099676	165000	-1.8310548e-08	20.419926	-0.033825256	-7.101574	22.732521	0.015093378	0.1574	27.0	13337.098684310913
33	-4.8214607	12.686537	6.114935	-22.767454	198.16667	0.6782487	4.5849433	9.023405	-35.34641	170000	-5.7220458e-08	8.577017	-0.038233213	-1.9712033	22.695473	0.015051997	0.1408	46.0	13504.90265750885
34	-4.7569795	12.544166	6.6363964	-22.39037	199.83333	0.6879162	3.7942739	7.4138675	-19.199068	175000	6.103516e-08	13.816347	-0.029741626	-3.8953629	22.68947	0.014927909	0.142	24.0	13672.578273057938
35	-10.739446	12.717648	6.1784043	-22.246275	142.54286	-0.684775	5.8046165	5.978462	-28.715687	180000	2.2888184e-08	19.437696	-0.038719848	-9.223428	22.73787	0.015390744	0.156	25.0	14243.237051725388
36	-3.1099494	12.756466	11.019759	-21.906885	200.5	-0.33743873	5.8979087	6.2854633	-40.71676	185000	-2.5177002e-08	12.101765	-0.022398299	-5.3939395	22.68154	0.018478973	0.2032	12.0	14410.698019742966
37	-10.80779	12.949582	9.961642	-22.580135	136.41667	-0.75180334	6.284093	7.8049254	-30.740547	190000	-4.5776368e-08	25.194109	-0.025312081	-5.9085674	22.728123	0.01654798	0.1564	13.0	14579.55298280716
38	-7.2585115	12.967235	6.1847653	-22.905647	182.73077	-0.5845417	5.984819	9.014946	-31.832407	195000	-9.155274e-09	27.284481	-0.024147097	-10.085798	22.726713	0.017224304	0.1354	12.0	14747.419340610504
39	-7.65723	13.184368	10.146121	-21.63831	160.13333	-1.0821098	6.1255693	7.8630743	-38.859932	200000	9.155274e-09	32.41801	-0.04091217	-10.820702	22.749844	0.015417006	0.165	37.0	14915.296301364899
40	-5.934985	13.053633	10.457144	-21.78705	186.88461	0.4930892	4.490596	8.028747	-25.500143	205000	-9.155274e-09	11.710097	-0.034429904	-3.965383	22.752407	0.015582811	0.1306	22.0	15543.73810005188
41	-8.353235	13.539451	10.126505	-23.419828	148.65625	-0.11476858	5.5623817	8.633783	-29.056864	210000	3.8146974e-09	19.179815	-0.044868205	-5.3625603	22.71126	0.015348465	0.1472	44.0	15712.414735555649
42	-5.334767	12.572862	6.387056	-22.109118	192.68	0.40288815	5.579895	7.84621	-42.60997	215000	3.6621095e-08	15.577219	-0.033677444	-7.276225	22.701288	0.014677953	0.1516	28.0	15880.114140987396
43	-2.6157446	11.951861	10.4504385	-21.548399	215.39131	0.6416484	3.7330403	7.331078	-21.145716	220000	-3.4332274e-08	20.301926	-0.039089177	-7.6131344	22.708353	0.015404909	0.1894	42.0	16047.333983182907
44	-8.434626	13.179941	11.567161	-22.498163	154.40625	0.5994396	4.6808505	8.023271	-32.376163	225000	7.324219e-08	14.893456	-0.02670209	-4.377944	22.70664	0.015876578	0.1428	13.0	16215.46886563301
45	-2.8224783	11.659536	6.1876864	-22.436739	224.09525	0.95158136	4.2928057	8.679473	-31.860147	230000	7.324219e-08	12.080184	-0.038355727	-3.4251776	22.7225	0.0151618775	0.1522	43.0	16791.774112939835
46	-7.751623	13.341809	10.302075	-22.425665	166.43333	0.2650465	5.1796284	7.557485	-30.976377	235000	3.6621095e-08	21.658499	-0.04142865	-11.97566	22.707443	0.011859322	0.1754	79.0	16960.62645483017
47	-8.711948	13.356408	10.570551	-22.862135	155.9375	-1.2418059	6.714874	6.6417937	-36.887615	240000	4.8828124e-08	30.10991	-0.0520434	-9.369982	22.676994	0.013710117	0.2144	79.0	17129.525480031967
48	-6.131535	12.948573	8.142629	-22.98449	187.34616	0.43734074	4.836892	7.0474877	-29.929003	245000	4.9591065e-08	20.154327	-0.033269316	-5.4318743	22.663832	0.016695902	0.1372	20.0	17297.23956799507
49	-6.864892	13.872493	10.722221	-23.524916	164.89655	-0.06929224	5.7270284	7.051339	-31.983559	250000	-1.9836426e-08	20.650816	-0.031306755	-4.634182	22.640553	0.015707765	0.1528	19.0	17465.496414899826
