Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-7.8002086	13.508527	6.966243	-22.132076	173.10715	-0.512443	0.4539334	0.166002	-2.8488894	10000	10596.716	52.722286	0.0	0.0	0.0	0.0	0.0	0.0	179.67012763023376
2	-3.7181904	12.70392	7.0083365	-23.504255	208.34782	-0.64854854	0.9466341	0.083554044	-5.761833	15000	1145.1333	26.77004	0.0	0.0	0.0	0.0	0.0	0.0	358.2125918865204
3	-12.362322	12.43731	7.362741	-22.172308	123.85	-0.34097353	1.2882897	0.75438046	-6.5364904	20000	1075.9679	62.211376	0.0	0.0	0.0	0.0	0.0	0.0	539.1446073055267
4	-12.675893	12.450413	7.4909844	-22.86973	115.309525	-1.275436	2.4758182	0.5022968	-12.149282	25000	871.1198	44.291008	0.0	0.0	0.0	0.0	0.0	0.0	720.3576560020447
5	-16.166548	10.368484	7.565914	-22.512146	97.938774	-3.006938	3.9330888	0.8720343	-20.367952	30000	2508.4883	67.59227	0.0	0.0	0.0	0.0	0.0	0.0	1156.104968070984
6	-14.17629	11.459434	5.902657	-22.369633	107.71111	-5.532759	5.246181	0.25364175	-41.904877	35000	2474.9978	45.97448	0.0	0.0	0.0	0.0	0.0	0.0	1344.7552003860474
7	-4.9442744	12.998902	6.93067	-21.723751	205.04347	-2.5732899	4.1926837	0.8988497	-27.762758	40000	1016.8137	24.97556	0.0	0.0	0.0	0.0	0.0	0.0	1530.352310180664
8	-13.991085	11.459975	6.932274	-22.449425	106.45652	-3.0520132	6.0733094	1.9492723	-30.839449	45000	1630.6265	41.716305	0.0	0.0	0.0	0.0	0.0	0.0	1719.055523633957
9	-14.669714	11.518442	7.370519	-22.868372	102.86957	-3.9200664	7.248551	2.0171354	-35.27122	50000	1314.8833	37.940006	0.0	0.0	0.0	0.0	0.0	0.0	1908.7733254432678
10	-13.593239	11.946322	6.5828037	-24.03786	112.57143	-3.0581703	6.9874234	3.0025523	-30.349836	55000	1204.1288	34.621414	0.0	0.0	0.0	0.0	0.0	0.0	2530.071336746216
