epoch	AverageTestEpRet	policy_steps	LossPi	LossV
50	-100.113396	39.64835	45187.56	2983.721
100	-86.92029	99.39561	19556.79	2430.6924
150	-46.331276	170.62637	17660.28	1955.885
200	-14.513946	195.35165	13067.207	1256.7156
250	0.8645598	213.0879	10297.758	1108.8573
300	0.8449154	224.04396	7929.4863	968.552
350	22.864435	200.73627	6911.5625	866.5005
400	66.92789	186.16484	6266.5474	825.61414
450	40.55036	225.4066	5597.8223	811.1859
500	27.39519	249.8901	4951.3096	782.8819
550	91.15874	169.73627	4053.5403	705.406
600	91.1576	126.38461	3567.7766	758.35126
650	64.73651	201.79121	3154.4373	812.4391
700	76.85514	116.61539	2924.9717	802.3948
750	91.06345	157.01099	2884.251	804.68256
800	64.67125	160.28572	2741.1243	806.6971
850	78.98731	146.28572	2557.1775	793.1357
900	27.18799	204.45055	2415.0623	790.96875
950	33.804527	218.83516	2466.6772	787.0706
1000	48.128197	185.46153	2352.1816	757.46686
1050	12.9297	241.58241	2269.662	699.0561
1100	51.480274	171.46153	2212.938	641.0437
1150	88.92428	133.04396	2121.3328	597.89075
1200	79.01117	148.4066	2140.2253	552.9764
1250	91.14274	121.58242	2086.903	529.33325
1300	38.40041	213.65935	2039.1104	500.58554
1350	86.757965	115.62637	1989.0819	446.8375
1400	91.16329	115.17583	1940.7484	432.4081
1450	86.75597	112.84615	1857.1418	434.49075
1500	97.752884	115.75824	1774.5748	407.99332
1550	93.356544	120.02198	1718.0748	385.41702
1600	93.36067	115.73627	1672.9563	383.32156
1650	95.56034	110.37363	1652.7128	345.4018
1700	99.93776	119.97802	1649.4379	323.44656
1750	97.76779	106.79121	1630.6172	319.5577
1800	97.76518	102.46154	1602.1757	326.91495
1850	79.08104	153.6923	1590.9006	298.47183
1900	93.37546	107.49451	1512.8688	286.89648
1950	97.77233	134.8022	1438.2072	262.72864
2000	99.97004	117.03297	1434.6311	268.8951
2050	99.96526	119.04395	1407.9163	253.7248
2100	99.96785	119.49451	1367.564	235.8826
