epoch	policy_reward	policy_steps	LossPi	LossV
50	-100.09622	42.032967	36778.96	3628.1057
100	-100.087524	49.186813	4505.001	1938.8143
150	-80.30707	76.49451	2695.0925	1180.3165
200	-46.25279	110.65934	1904.2675	668.87195
250	-20.96017	121.13187	1360.078	383.16766
300	-26.456932	100.78022	1160.0553	243.3023
350	11.991949	132.21979	1066.5197	180.37262
400	25.188643	145.64835	953.3819	157.7431
450	47.166916	136.02197	853.90564	127.86775
500	43.900074	142.83516	783.60065	110.16489
550	60.392895	126.15385	765.83453	100.5133
600	65.88397	120.8022	691.9966	88.31279
650	50.492302	144.8901	642.82086	79.550224
700	80.17627	119.74725	665.1847	79.035934
750	77.96861	124.89011	616.6579	74.739334
800	58.18626	118.48351	605.45844	72.546005
850	38.39731	107.13187	570.4013	68.22249
900	47.179447	110.56044	557.38116	66.76784
950	18.538448	127.18681	544.29803	65.40301
1000	61.388077	147.57143	533.61597	65.01292
1050	22.892607	159.81319	505.06085	59.362404
1100	50.454575	115.7033	472.5067	62.661747
1150	41.639103	124.85714	479.87973	60.4837
1200	42.737415	133.15384	467.89597	60.386837
1250	79.02663	137.81319	460.57446	55.687603
1300	64.75317	126.05495	470.78876	59.453056
1350	55.977276	108.9011	467.26447	59.553455
1400	51.57315	118.62637	461.28024	60.316452
1450	64.77126	110.18681	430.54245	56.462013
1500	62.585453	95.85714	446.31528	55.406612
1550	80.16441	103.08791	419.67648	51.38948
1600	73.56448	105.05495	391.8874	51.11041
1650	82.36345	98.71429	423.84128	51.4575
1700	86.7707	97.51649	404.0604	46.07085
1750	73.56586	93.56044	388.4011	48.897892
1800	82.37393	93.75824	393.39374	50.5187
1850	69.18603	92.43956	392.28363	49.093224
1900	71.385925	91.98901	390.60886	47.753803
1950	90.0596	110.94505	373.35632	47.95895
2000	97.76792	107.15385	391.69275	44.701664
2050	93.372314	100.97802	384.2564	42.173702
2100	80.18555	96.83517	356.3417	44.25051
2150	95.57007	97.86813	388.15274	46.35414
2200	84.58694	92.25275	359.63223	44.834286
2250	91.17082	101.64835	361.375	42.69155
2300	88.98214	95.32967	351.25046	42.631718
2350	86.776726	91.02198	371.42178	39.13066
2400	91.17245	93.61539	372.6738	39.951515
2450	88.97847	91.85714	341.82718	39.718506
2500	86.77492	92.61539	356.03116	40.120716
2550	80.173195	92.37363	333.91165	36.88225
2600	93.3694	90.97802	313.6732	38.411346
2650	84.56095	93.68132	337.9339	38.406227
2700	86.73914	109.21978	312.46887	41.188663
2750	93.37606	97.76923	301.0349	38.15283
2800	88.98693	89.67033	311.73297	35.84465
2850	95.579544	93.56044	303.67426	36.187923
2900	95.57818	94.14286	301.3796	34.39644
2950	97.7765	98.94505	294.92	36.435055
3000	95.5826	94.1978	341.42047	41.42205
3050	91.18604	96.41758	349.08374	41.73939
3100	88.98545	91.81319	316.14673	38.571663
3150	82.38795	90.89011	303.21344	38.12573
3200	93.37798	97.38461	305.30496	38.945717
3250	88.98406	94.13187	301.88144	37.319996
3300	88.98487	84.60439	283.58136	37.017384
