epoch	policy_reward	policy_steps	Averageaction_error	Stdaction_error	LossPi
50	-19.941534	140.04396	4.656864	2.602518	1.8375357
100	31.145107	240.67033	2.9111888	1.9664813	0.55336684
150	35.209564	192.83516	2.4065218	2.3961744	0.37646797
200	36.033695	208.01099	2.0165977	2.0987747	0.33591384
250	29.355118	228.56044	1.5826784	1.592106	0.2663398
300	36.958622	207.02197	1.511589	1.6532241	0.222257
350	41.073208	192.58241	1.3478498	1.59463	0.2035509
400	36.1777	223.93407	1.3082622	1.3477437	0.16749792
450	41.51157	189.24176	1.2329296	1.4705983	0.15551113
500	42.376534	185.14285	1.1604837	1.4583523	0.14072247
550	45.73901	161.72528	1.0983315	1.4665952	0.13994355
600	45.28818	166.43956	1.0134106	1.4027115	0.12559997
650	45.57051	162.63736	0.97740227	1.4092418	0.11600854
700	47.5653	157.31868	0.8599078	1.3233798	0.11059074
750	48.65698	150.6923	0.83716804	1.3875557	0.100899674
800	48.340843	149.31868	0.9525457	1.5268452	0.08977352
