epoch	policy_reward	policy_steps	Averageaction_error	Stdaction_error	LossPi
50	2.6105165	264.57144	4.1295834	1.6528041	1.8598595
100	10.164118	255.12088	1.9491878	1.953939	0.50574076
150	13.8219	252.4066	1.7576394	1.738396	0.36158714
200	31.730865	205.27472	1.5555141	1.7776284	0.30582786
250	27.916967	230.0989	1.4118737	1.7517254	0.2332915
300	31.725874	214.74725	1.4319109	1.7582523	0.22981696
350	38.33318	198.53847	1.3595349	1.638772	0.20637532
400	39.044647	193.25275	1.2672315	1.6272917	0.17587
450	32.83041	227.6923	1.0523543	1.4778842	0.15503898
500	42.305027	187.15384	1.1841378	1.5840733	0.14701876
550	42.74362	175.20879	1.0840378	1.5707465	0.13801718
600	45.431366	170.06593	1.0219662	1.5341463	0.12516543
650	44.771942	173.21979	0.95647866	1.5871665	0.10699833
700	45.411198	161.68132	0.9982179	1.5670726	0.091447346
750	46.719658	159.92308	0.8954495	1.5422457	0.087700106
800	46.971363	161.85715	0.9108898	1.6370683	0.078776754
850	46.70055	151.06593	1.0289668	1.8592236	0.07249908
900	46.491436	158.7033	1.0078187	1.7849237	0.055356942
950	44.684048	169.26373	0.9704236	1.7636642	0.050982065
1000	45.429913	178.62637	0.9615462	1.6464313	0.040972214
1050	45.811565	180.25275	0.8605922	1.6189239	0.042672127
1100	45.093754	176.75824	0.9276644	1.6789334	0.036962215
1150	42.266777	179.56044	0.9869916	1.7134694	0.036006097
1200	42.74276	178.3077	0.983439	1.7037556	0.034388945
1250	37.642048	175.92308	1.2023581	1.9124155	0.032617427
1300	39.930874	172.6923	1.1260871	1.9172285	0.02921341
1350	38.787285	172.35165	1.1100639	1.8653021	0.029781757
1400	33.985485	169.51648	1.3459638	2.1687744	0.026463032
1450	40.236282	160.96703	1.1217954	1.9867594	0.027008008
1500	36.849884	164.04396	1.3375497	2.184728	0.02543874
1550	32.738754	158.79121	1.4602953	2.3728478	0.023696601
1600	29.318733	163.9011	1.668949	2.6304226	0.022355726
1650	34.83831	161.37363	1.3359001	2.2518299	0.025479637
1700	37.959732	167.79121	1.2085222	1.9828064	0.024201486
1750	44.55535	171.64835	0.9048189	1.6054132	0.02227858
1800	39.093163	181.62637	1.0296052	1.6657672	0.02198966
1850	42.49533	176.34065	0.93873197	1.5958391	0.022756498
1900	43.719524	169.3956	0.9071729	1.6820328	0.020207277
1950	42.897972	172.8901	0.94143856	1.6826929	0.020934997
2000	43.942486	167.74725	0.9077398	1.6025211	0.018165965
2050	43.40753	161.42857	1.0263741	1.813311	0.01827768
2100	41.376305	163.36264	1.1332439	2.0490952	0.02102501
2150	39.478897	165.37363	1.1622427	2.0109737	0.017417287
2200	38.74473	164.82417	1.1823689	2.0146177	0.020093132
2250	34.80512	172.9121	1.2352109	1.9276731	0.018670471
2300	37.330536	173.76923	1.215828	1.9767997	0.017080927
2350	40.443073	162.9121	1.0194501	1.6453193	0.019737398
2400	35.69238	180.51648	1.2196906	1.9618157	0.01791662
2450	39.369114	178.75824	1.0339319	1.7518407	0.01811944
2500	41.620895	172.87912	0.924284	1.622777	0.014353719
2550	38.12919	176.35165	1.0889744	1.8691884	0.016781028
2600	40.38382	170.3077	1.0432571	1.7586229	0.01657203
2650	41.73411	166.95604	0.9783067	1.6823771	0.01423553
2700	45.229893	161.14285	0.900822	1.6821953	0.015966294
2750	37.252174	167.8901	1.1028247	1.9457784	0.015456612
2800	40.404385	159.16484	1.0151534	1.8133185	0.015249402
2850	41.260967	157.03297	0.96569633	1.7253752	0.014761906
2900	41.82746	158.64835	0.8681444	1.6293018	0.015496523
2950	38.79857	160.3077	1.0690647	1.9057298	0.014653073
