epoch	policy_reward	policy_steps	Averageaction_error	Stdaction_error	LossPi	LossV
50	-24.206425	90.76923	4.732442	2.3505251	2.0216475	152.70845
100	16.660679	243.20879	2.153163	2.042503	0.46955135	82.67564
150	30.596891	197.72528	1.9126843	2.166817	0.3003376	62.526493
200	33.516647	208.3077	1.5746323	1.81033	0.2506882	54.89996
250	37.35812	209.5055	1.4483106	1.8334749	0.21132976	49.498146
300	32.227207	245.61539	1.267378	1.7397174	0.18954533	46.40799
350	37.0704	206.85715	1.2802551	1.6678314	0.17208521	45.970646
400	34.8366	235.28572	1.1798412	1.6602263	0.1659824	43.139492
450	37.339275	226.43956	1.2090226	1.5349274	0.17582524	41.54027
500	41.100124	205.24176	1.1194603	1.5420855	0.16644539	39.059185
550	45.54165	167.51648	1.2008277	1.8266459	0.15061557	39.918373
600	46.53198	157.38461	1.1271008	1.8343843	0.14060682	41.00415
650	45.483856	164.6923	1.0404524	1.7174479	0.14074546	39.97699
700	47.909195	155.97803	1.0653932	1.593372	0.14006291	39.040634
750	47.782223	152.13187	1.0539725	1.7112409	0.12234846	35.658966
800	48.12734	149.67033	1.0183839	1.6147933	0.115725555	30.8379
850	47.457005	156.8022	0.89071673	1.5602355	0.1050074	26.113842
900	47.139687	166.37363	0.92441225	1.5429502	0.10329438	21.04809
950	46.2858	173.56044	0.863429	1.5777422	0.082790725	14.950718
1000	46.67822	175.0	0.77665657	1.4266669	0.0787676	12.30821
1050	47.103256	170.5934	0.7840714	1.41055	0.07607188	11.359301
1100	46.88487	174.9121	0.7589027	1.3500243	0.074232414	10.829822
1150	46.662205	158.36264	0.87294185	1.4231784	0.06249998	8.4229765
1200	46.901814	157.68132	0.7661825	1.3734578	0.068551816	9.021823
1250	47.202362	160.15384	0.86063206	1.3214573	0.065699115	7.9580426
1300	47.855774	153.81319	0.7789168	1.3232809	0.056330033	10.023939
1350	47.32794	151.71428	0.7787569	1.4334655	0.059834152	12.7016325
1400	46.708893	151.0879	0.7856794	1.4670396	0.06992745	14.943867
1450	47.14297	145.92308	0.8502845	1.5341837	0.061170448	18.558758
1500	46.133907	142.82417	0.8158839	1.4601612	0.061802316	18.90594
1550	46.01936	150.51648	0.80448085	1.4318901	0.0575628	19.4664
1600	44.84066	153.78021	0.8312258	1.5620875	0.05212099	21.465673
1650	45.72557	156.82417	0.77630544	1.5092901	0.05116917	23.0879
1700	45.395866	162.43956	0.74998957	1.449656	0.059235305	26.714869
1750	44.33081	167.18681	0.7320312	1.4330759	0.053803217	28.381128
1800	45.98791	165.8022	0.6686125	1.3044139	0.050331224	31.168673
1850	45.787678	168.06593	0.6894091	1.3686349	0.053018905	36.901157
1900	45.908417	162.18681	0.6730446	1.3572807	0.054763723	37.13217
1950	47.597977	153.64835	0.6172299	1.2952789	0.058373652	38.709724
2000	46.822163	154.65935	0.6714295	1.3295468	0.052684948	36.492035
2050	47.258553	147.36264	0.7357243	1.3806272	0.04814834	35.12943
2100	47.402367	141.21979	0.722526	1.3307914	0.050806385	30.601543
2150	46.245827	147.52747	0.72134006	1.4103962	0.043193713	29.52786
2200	44.6235	145.67033	0.688491	1.3478882	0.04535065	24.886724
2250	46.487717	150.01099	0.73685753	1.4995654	0.049496613	22.275629
