Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	244812.55007862794	76412.14430343386	129457.26074853053	398606.8078825659	-43.534803192368244	14.059703782955346	-65.97197501811354	-22.341606093808796
1	265798.04533517483	118657.0775201917	92872.5416658783	482148.4064328033	-36.73598165074361	12.288565578968882	-61.03342217812445	-18.461820757708402
2	181674.155875389	75938.58685185522	79571.03512749553	303386.45526259637	-35.30217024185533	18.233606444628414	-71.35899462009114	-12.766317015760801
3	225371.31926343095	81014.92023648125	125705.12604386306	360356.2501344483	-46.08698211961319	15.938139157918016	-70.75543518043247	-24.14317792175063
4	242191.08061570278	77526.6107581732	149244.82417472533	390792.8108425663	-40.45728004499044	12.708228947928053	-71.57284805168885	-25.572298729902936
5	290842.24752942944	114274.859651979	136319.01725256746	591753.1705876259	-43.17904964130499	12.879183932563702	-64.47992715787355	-22.355677754313938
6	199051.64636670466	100095.65436969143	83171.32603021665	432690.9269258709	-33.34220548002163	11.708860309638032	-58.9379922901578	-19.74316377175464
7	249516.5677882849	57597.80445032435	193381.963465936	386738.1547386313	-43.62083904499217	14.798735146151643	-68.85717798066594	-25.285092400233836
8	231345.98910719418	73076.45165678106	92252.9478092461	322305.5859119824	-42.919771659239736	16.236643012486716	-68.9910273758902	-19.134762396662914
9	303804.00817464426	88534.66978197274	152380.96048252517	441886.11513173796	-48.98071903105747	9.174380251600056	-68.562725921857	-33.58995858081735
10	254678.6857230523	109144.82955344334	126186.26192967505	528883.2879971301	-44.77680739325871	16.09273179705047	-76.9749322258452	-21.053125025483297
11	282133.3804547813	83999.37290008004	139492.02702771808	404009.12182007334	-45.5669316254741	12.801426947923023	-65.53710062271168	-21.62863737045715
12	294011.82541058667	127592.76896040354	151590.93442279767	629958.6079051261	-43.947406661232044	21.90173476115213	-76.07321939773692	-17.499743850570496
13	262547.31926507695	72001.33664388352	155455.31475742985	445296.19468837406	-43.97428712033959	14.835136374625796	-66.28410789449276	-17.998561932422774
14	382746.5593769263	183007.81578645503	158758.8043957323	842992.697379996	-43.69093987682849	12.00680485099622	-62.956209831268694	-21.826995877729786
15	247972.00474743912	78023.12525438482	167096.52236324182	399388.941185761	-45.00528105317242	14.559634358575783	-67.49194188324559	-15.09754052048806
16	267937.2347875339	79724.08204319776	167739.12088860772	403045.0268673962	-51.27285883081843	14.914173109240691	-69.27555421942927	-18.0842859733877
17	256940.9833781529	130174.75019492455	127069.00102927335	530496.7189590548	-33.81659726354842	15.275638665306593	-66.94229356291973	-19.27754207922812
18	309067.60777769255	95719.33388510582	198280.30285541073	522600.2103142386	-48.185957010530096	15.059395533833625	-77.00686829095635	-27.579267222059197
19	263012.4084483081	107788.06191987454	142861.23416500312	488971.735168454	-40.37653584587736	12.844894714801447	-68.27463505292769	-21.74530802320125
20	237286.91096822196	100297.25992112815	68821.0294218593	393456.7069638686	-48.950585612440705	20.15469987748355	-84.93741977272488	-16.059085995537068
21	279131.56566875416	90980.96689345884	97611.63948832557	399139.2083280867	-44.128214813426396	16.720341409010192	-76.42749112337233	-20.659356830272888
22	267404.18410544	86002.14250828407	115811.59395815832	419060.8544557368	-43.198883996652185	13.409038368940676	-66.76969969308172	-20.920785627355006
23	282392.37871821603	112153.96746947111	90578.11905688539	416756.46710969316	-32.825937919535605	11.228328288194886	-48.70975571718549	-19.075234623885997
24	287166.06438868155	94016.6067199596	103552.9611589059	472788.906786367	-55.92648928947684	21.061659508707173	-102.645205313337	-26.932803987166277
25	240845.76179885265	70425.52849389885	119975.40831266061	355724.48478165735	-46.313356150234746	15.189101269487585	-73.1411527180515	-24.76154187475388
26	236299.0850170908	68042.13723827715	97075.9748161315	317508.4548713617	-41.543103496954984	10.100376440728109	-57.73668062867357	-26.11592301698701
27	305857.5515109868	85690.6606257875	175639.96307321673	424723.0028769824	-45.06093068015194	15.690345209062611	-65.42516152480127	-20.234280454625925
28	250981.87620770413	71645.1583894177	149529.2367961771	420765.90560342686	-43.840169948144386	22.722696565338893	-81.26249605797464	-16.857723471938698
29	256713.94352445123	105975.07977197331	68157.5033423857	437784.88057265914	-44.851498725113665	13.865991740472785	-69.4813755712196	-22.29955760955571
30	243464.9378829563	102909.09358074694	81955.83617242587	454432.9817216206	-42.904334627680164	15.77678144190759	-71.65662943508593	-21.661155218316757
31	306552.80627918337	137412.50866088268	130921.97585575786	663314.5822721015	-49.806669761313195	13.158282171587837	-68.30525292008731	-24.13795054742339
32	323762.4906810077	67485.51720741267	193828.82624965443	432303.70895941043	-43.892139902253334	9.776778695249511	-64.74760756877015	-30.305102895713404
33	245228.6689546268	50225.69420255434	134123.58537492013	325805.68806447444	-41.238966785808856	13.744567293570745	-66.23618602847938	-20.690870552798316
34	310485.0811232257	110955.26620559141	157696.88081484826	582516.0818309673	-39.697140778925785	14.088178348683417	-67.41004767506305	-25.058363126915506
35	322518.3976469451	90952.93480135353	160100.34697543146	473161.6445657213	-49.245835049953186	15.213746783557129	-86.58880874066658	-30.818434572733867
36	280255.9256037417	87336.18243258342	148545.71420524557	432401.16335466556	-43.53966325270009	17.88103970122738	-68.15593194778118	-20.2053633675049
37	267389.00914892793	57777.53703860522	178750.51264205296	357550.543445543	-41.72953265643034	14.962181028211276	-71.88304241426167	-16.880056839755266
38	253534.33526456877	102972.96677591634	103595.81581204655	440539.7527011008	-38.78865609930823	11.82511504673978	-57.28215928910735	-17.375076905945868
39	309164.8215527419	149471.08807710817	133652.75238385564	670787.899277785	-43.9855752340689	11.552342497047212	-59.23083456344322	-26.359935206037303
