Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
100	-45.754414	22.921154	-11.241207	-140.33969	-25.943548	2.0060706	-21.38006	-27.780193	126.77	39.5	166	-3.9354413	3.9144378	8.3172865	-27.093163	-3.9409654	3.9090676	7.8357563	-27.480585	-3.7359903	3.8495443	7.822328	-26.541773	-1.6668255	2.4567068	42.848923	-12.170129	3.5324326	0.28798902	0.27945897	0.1644527	517.936870098114
200	-41.72597	25.877718	-10.0	-152.1289	-3.406835	0.5732812	-2.6553912	-4.4909434	115.76	50.9	135	-9.607994	6.278924	8.658094	-37.50675	-9.608376	6.2800283	8.494583	-37.456673	-9.4487	6.2006693	8.173293	-38.354374	-2.2342463	0.8445336	7.5511436	-12.260605	8.922436	0.6462194	0.64201146	0.2029618	997.0277156829834
300	-48.19043	23.185678	-9.121788	-146.34338	-11.008192	4.3645287	2.0085306	-13.648561	123.18	13.9	48	-5.2800837	5.5359597	9.424169	-35.12613	-5.280771	5.5363746	8.790783	-35.199955	-4.8793707	5.411611	8.604209	-35.380722	-2.1000323	1.4182544	8.040957	-12.032877	4.104357	0.36743823	0.3648101	0.22130652	1492.1128928661346
400	-45.889137	22.111805	-10.0	-137.34128	-6.441677	2.886207	-4.677665	-14.834083	129.16	43.4	120	-5.741207	3.9209337	7.2431836	-28.412848	-5.7408886	3.9211843	6.514719	-28.025093	-5.495507	3.7603803	6.4408283	-27.580736	-2.4334254	0.8952401	4.859212	-9.817878	4.8449006	0.20901667	0.207375	0.1326256	2021.8087668418884
500	-45.695187	26.431822	-0.59572095	-174.15724	6.1864486	6.738065	9.742397	-13.943542	120.97	47.4	108	-5.534143	4.224398	7.789201	-33.05442	-5.534633	4.2233047	7.8797154	-32.760452	-5.217112	4.084113	8.05087	-32.85585	-2.4189162	0.9118991	4.691736	-11.683913	4.6658726	0.22914748	0.22862644	0.10743007	2528.1841082572937
600	-45.69174	20.68935	-10.0	-138.71864	-0.34355563	2.7464933	1.6385415	-8.372237	136.02	47.2	123	-5.765794	4.867215	7.908435	-37.74601	-5.765625	4.866966	8.049911	-37.599064	-5.4873853	4.73572	7.8372917	-37.111988	-2.4122586	0.8922231	5.2884426	-10.025332	4.949654	0.29059777	0.29063842	0.11563861	3094.022624731064
700	-45.20884	19.78337	-10.0	-114.51178	-10.889927	1.216783	-9.732206	-13.83201	126.36	42.1	86	-5.7499456	5.1335692	8.738567	-38.30012	-5.7502937	5.133113	8.835826	-38.983017	-5.452002	5.0048027	8.918283	-37.540604	-2.3648345	0.9647045	5.7288704	-11.339169	4.8849487	0.32216138	0.3224957	0.11992655	3620.5658509731293
800	-43.072163	23.090307	23.629885	-135.67902	-16.659864	0.8417942	-14.437121	-17.701176	127.73	36.2	66	-4.733684	5.4625072	11.370723	-39.62324	-4.734443	5.46183	11.246231	-40.370052	-4.390719	5.346746	11.188674	-38.641083	-2.3500683	0.9940533	5.809368	-12.259711	3.8606699	0.35836	0.35874042	0.12275257	4141.14839220047
900	-40.494408	17.52924	-10.0	-103.09249	-0.8071191	3.1806276	8.31998	-3.8409102	117.05	47.2	68	-2.767589	5.597519	12.835048	-37.762497	-2.7683554	5.596925	12.541088	-38.666847	-2.4094665	5.457311	12.395407	-37.082996	-2.3073597	1.1023761	5.81159	-11.378401	1.8156545	0.36474243	0.36495093	0.13780575	4621.632551431656
1000	-42.115005	22.887606	-4.1670346	-104.98879	13.839142	10.208606	19.553038	-16.594954	112.35	49.3	98	-3.4151866	5.5380163	12.172603	-37.858032	-3.415104	5.538553	11.848779	-38.190132	-3.0982409	5.3986983	11.886024	-37.22309	-2.3492901	1.0203758	5.0695105	-9.571388	2.5275583	0.34874806	0.34665322	0.13203959	5084.5651087760925
