Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
100	-101.195946	0.5652205	-100.151245	-102.603004	-100.35411	1.0623231	-100.0	-103.54108	38.79	6.1	47	5304.094	6138.8955	29434.033	-130.94865	5302.3237	6137.64	29376.932	-167.97168	-10979.181	10623600.0	153.83575344085693
200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2015.1293	6204.1187	28518.99	6.4058924	2012.4268	6195.1113	28821.451	6.619759	-3452.1008	7929229.5	171.82922673225403
300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.442873	0.000379414	6.4434896	6.442182	6.65991	0.0003978234	6.6605577	6.6591864	-6.4428596	1399.1154	189.765398979187
400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.441305	0.0005212211	6.4421644	6.4403505	6.6582713	0.00054304814	6.6591682	6.657278	-6.441286	1916.418	207.73228240013123
500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.4392133	0.00066644454	6.4403286	6.4380054	6.6560974	0.0006918663	6.6572566	6.6548457	-6.4391894	2384.3535	226.20814442634583
600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.4366107	0.0008060978	6.43798	6.4351735	6.653403	0.00083370425	6.654819	6.6519165	-6.436582	2784.969	244.48913526535034
700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.433472	0.0010097132	6.4351387	6.43169	6.6501594	0.0010420545	6.651881	6.64832	-6.4334373	3196.219	262.88525652885437
800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.429642	0.0012477865	6.4316525	6.427422	6.6462097	0.0012851391	6.648282	6.6439238	-6.4296	3784.7468	281.24112701416016
900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.424994	0.0014307894	6.427377	6.4224863	6.6414247	0.0014723788	6.6438775	6.638844	-6.424945	4185.167	299.4510622024536
1000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.4196424	0.0016385025	6.4224286	6.4167852	6.6359205	0.0016844885	6.638786	6.632983	-6.419586	4528.723	317.8153953552246
1100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.4134703	0.0019331153	6.416724	6.4101057	6.629579	0.0019852405	6.6329203	6.626123	-6.4134035	5084.8877	336.1981055736542
1200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.4063544	0.0021787672	6.4100347	6.402637	6.622273	0.0022360617	6.626051	6.6184583	-6.40628	5343.017	354.3964993953705
1300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.3987093	0.0023207795	6.402567	6.3945994	6.614425	0.0023818421	6.6183853	6.610209	-6.3986287	5583.274	372.7437264919281
1400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.3899927	0.0026927534	6.3945107	6.3852615	6.6054835	0.002761614	6.6101174	6.600632	-6.3898993	6082.0938	391.1003472805023
1500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.3802257	0.0029595778	6.3851657	6.37501	6.595468	0.003034627	6.600534	6.59012	-6.380123	6421.142	409.46879148483276
1600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.3692174	0.0034102236	6.3748946	6.363212	6.5841827	0.0034953395	6.590002	6.578028	-6.3691006	6933.5176	428.0821921825409
1700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.3568435	0.0037173927	6.3630943	6.350362	6.5715	0.0038101783	6.577906	6.5648556	-6.356714	7236.511	446.64899134635925
1800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.34315	0.004182344	6.3502293	6.335768	6.557466	0.0042864936	6.564721	6.5499005	-6.343004	7886.185	465.0486624240875
1900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.327577	0.0047051082	6.3356104	6.319397	6.5415053	0.0048222826	6.549738	6.5331216	-6.3274136	8344.068	483.39318323135376
2000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.310338	0.005333486	6.319226	6.300919	6.5238357	0.0054675927	6.532946	6.5141788	-6.310154	9042.006	501.7643344402313
2100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.2909155	0.0057987785	6.300718	6.2809324	6.5039196	0.005947436	6.513972	6.4936795	-6.2907147	9187.2705	520.23641705513
2200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.269907	0.006414123	6.2807283	6.2588367	6.482369	0.0065812413	6.49347	6.471008	-6.2696857	9805.967	538.7085614204407
2300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.246742	0.0069453376	6.2585998	6.2347746	6.4585958	0.007129247	6.470766	6.446309	-6.246501	10059.688	557.2822563648224
2400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.221649	0.0076822247	6.234535	6.208341	6.432831	0.007889317	6.446063	6.419162	-6.221383	10666.057	575.7168309688568
2500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.194164	0.008176809	6.2080665	6.1799374	6.4045935	0.008404538	6.4188805	6.3899674	-6.19388	10829.966	594.1984758377075
2600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.164723	0.008893358	6.1796536	6.149111	6.3743176	0.0091495225	6.3896756	6.3582544	-6.164414	11392.017	612.8288946151733
2700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.1320577	0.009877422	6.148773	6.114732	6.340692	0.010173719	6.3579054	6.3228445	-6.131714	12047.959	631.4953615665436
2800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0963917	0.010548145	6.1143622	6.0779767	6.303931	0.010880058	6.322462	6.284932	-6.0960236	12282.947	649.9219901561737
2900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0583067	0.011363605	6.0775847	6.0384893	6.2646203	0.011738098	6.284528	6.244146	-6.057912	12622.679	668.5056564807892
3000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0168056	0.012562393	6.0380793	5.9951773	6.2217183	0.012996689	6.243721	6.199335	-6.016372	13337.633	687.0870461463928
3100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.9721446	0.013319918	5.9947267	5.9491115	6.175472	0.013804722	6.1988697	6.1515927	-5.9716835	13579.34	705.8899304866791
3200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.9245534	0.014095148	5.948632	5.900204	6.126101	0.014635721	6.151095	6.10081	-5.9240637	13844.469	724.7949244976044
3300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.873799	0.01529509	5.8996916	5.847208	6.073351	0.01591159	6.1002793	6.0456796	-5.873269	14420.518	743.6694099903107
3400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.8194995	0.01613085	5.846666	5.791544	6.0168047	0.016814815	6.045115	5.9876547	-5.8189435	14556.174	762.4865283966064
3500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.7621	0.017249538	5.7909784	5.7319856	5.9569116	0.018015772	5.987065	5.92545	-5.7615047	15079.296	781.3929297924042
3600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.7001843	0.018418036	5.731369	5.668092	5.892181	0.019274544	5.924805	5.8585854	-5.699545	15610.433	800.1876223087311
3700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.633807	0.019799778	5.6674247	5.599319	5.822647	0.020762276	5.857887	5.7864695	-5.633118	16264.565	818.8231208324432
3800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.562737	0.021015186	5.5985913	5.526222	5.748045	0.022081396	5.785707	5.709667	-5.5620046	16681.732	837.7106251716614
3900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.4883776	0.021793455	5.5254645	5.450712	5.669839	0.022942225	5.708869	5.6301775	-5.4876223	16695.975	856.5675239562988
4000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.4109626	0.02295658	5.4499316	5.371365	5.588274	0.024207326	5.6293545	5.546507	-5.4101686	17049.992	875.1829631328583
4100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.3291297	0.02443967	5.3705564	5.286816	5.501914	0.025810625	5.545654	5.4572163	-5.3282833	17720.818	894.0587430000305
4200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.2425966	0.025568059	5.28596	5.1984754	5.410459	0.027041145	5.456311	5.363785	-5.241713	18061.834	913.0248374938965
4300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.1517944	0.026896745	5.197567	5.1051826	5.314359	0.028484782	5.3628235	5.2649846	-5.1508613	18625.008	931.7971756458282
4400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.0567417	0.027791237	5.104228	5.0087805	5.21363	0.029468456	5.263973	5.162766	-5.055778	18794.225	950.9173040390015
4500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.9585686	0.029077223	5.0078044	4.9082837	5.1094794	0.030862195	5.161731	5.0560994	-4.9575634	19295.766	969.8789646625519
4600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.855914	0.030050298	4.9072433	4.8041425	5.000477	0.031922173	5.0549955	4.9454727	-4.854873	19539.154	988.8501682281494
4700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.7498436	0.031347107	4.8031	4.695748	4.887758	0.033323105	4.9443645	4.830245	-4.7487593	20137.002	1007.7829878330231
4800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.6393275	0.032396395	4.6946454	4.583622	4.770237	0.034460273	4.829073	4.710977	-4.638206	20514.664	1026.8992743492126
4900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.5258045	0.03318968	4.5824885	4.4687023	4.6494484	0.035322506	4.7097707	4.588673	-4.524655	20803.742	1045.941875219345
5000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.4093695	0.034091134	4.467534	4.350614	4.5255055	0.03629646	4.587429	4.462946	-4.4081883	21168.578	1064.958838224411
5100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.289694	0.03497672	4.349419	4.2295494	4.3980656	0.037251845	4.4616723	4.334006	-4.2884827	21550.676	1083.9670460224152
5200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.1675353	0.035484485	4.228327	4.1066523	4.267942	0.037803553	4.3327036	4.2030773	-4.1663065	21722.682	1103.14568734169
5300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.044421	0.035587598	4.105421	3.9833694	4.1367674	0.037921708	4.201765	4.071708	-4.0431886	21669.71	1122.139006137848
5400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.920976	0.03567984	3.9821346	3.859766	4.0052123	0.03802685	4.0703926	3.9399743	-3.9197395	21616.658	1141.3017654418945
5500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.797218	0.03576777	3.858529	3.7358592	3.8733034	0.038125843	3.9386551	3.8078985	-3.7959788	21563.53	1160.4724431037903
5600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.6731641	0.03585054	3.7346182	3.6116645	3.7410645	0.03821774	3.806576	3.6755037	-3.6719217	21510.338	1179.6834564208984
5700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.5499585	0.034703948	3.6104212	3.4914126	3.6085184	0.038303193	3.6741781	3.5428126	-3.548757	21457.32	1198.9767549037933
5800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.4327374	0.033555023	3.4902523	3.3751714	3.4756866	0.03838245	3.541484	3.4098465	-3.431575	21405.553	1218.2809846401215
5900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.3163397	0.033642806	3.3740072	3.2586253	3.3431451	0.03776411	3.4085157	3.2792647	-3.3151743	21354.074	1237.4554190635681
6000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.1998029	0.033508945	3.257458	3.1428778	3.215125	0.036675684	3.277995	3.1522117	-3.1986458	21303.562	1256.8210968971252
6100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.0857642	0.03265999	3.141748	3.0297363	3.0879395	0.036750622	3.1509402	3.024899	-3.0846326	21253.8	1275.8884618282318
6200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.9724894	0.032735128	3.028604	2.9163346	2.9605055	0.03681899	3.0236244	2.897349	-2.971355	21204.205	1294.8798658847809
6300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.8589664	0.032803144	2.9151998	2.802697	2.8328447	0.036881477	2.896073	2.7695835	-2.8578298	21154.564	1314.3181056976318
6400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.7452185	0.032865044	2.8015592	2.6888452	2.7049775	0.036938436	2.7683046	2.6416197	-2.7440803	21104.895	1333.5770938396454
6500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.6312666	0.032921232	2.6877055	2.574798	2.5769215	0.036990397	2.6403391	2.5134757	-2.6301262	21055.205	1352.6977875232697
6600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.5171287	0.03297238	2.5736566	2.4605737	2.4486938	0.037037406	2.5121934	2.385169	-2.5159864	21005.5	1372.184142112732
6700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.4028215	0.03301891	2.4594307	2.346188	2.320311	0.037080277	2.3838851	2.2567139	-2.4016778	20955.785	1391.6033494472504
