Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
100	8.859175	6.0589733	41.447178	-0.87030876	-28.248758	4.271345	-17.951754	-33.37348	92.61	38.2	87	2.1384914	2.097309	7.501795	-9.463965	2.1385467	2.0981002	7.544385	-9.588528	-2.5565588	0.3270232	410.80150389671326
200	7.6361446	6.1607456	29.48044	-8.198829	6.381853	10.542854	17.087082	-8.028021	93.47	52.6	78	6.1954584	3.7427983	14.254397	-18.133286	6.194302	3.7440152	14.366176	-17.848677	-6.7191215	1.3924001	829.8405666351318
300	7.728866	5.150146	22.986198	-5.6044693	-19.480618	8.31857	5.0054317	-24.953112	86.79	54.4	89	8.464769	4.0831666	17.36013	-14.145554	8.464627	4.084424	17.057573	-14.61605	-9.082528	1.2798455	1222.4781832695007
400	7.6295686	5.351445	29.859367	-2.8043454	-27.60079	3.9366171	-21.300983	-38.018017	86.71	60.8	81	9.449486	4.0831227	17.70653	-13.23188	9.45036	4.0849366	17.685335	-12.170193	-9.997925	0.8762203	1618.1625530719757
500	7.960767	5.038516	22.09229	-3.5253942	5.5187044	5.5348516	11.290973	-10.524725	84.55	38.3	80	9.03516	4.698054	18.413307	-14.421301	9.03528	4.698891	18.204498	-14.8747635	-9.588773	0.7956267	1996.8273186683655
600	7.5980654	5.084137	21.73822	-3.1088643	10.077478	2.7715302	14.198398	5.465588	84.92	45.3	72	10.064131	4.943952	20.550165	-6.4992857	10.064385	4.9463716	20.773937	-7.0090494	-10.653401	0.8444901	2379.447627544403
700	8.13769	5.9306855	22.914133	-18.886053	-2.770365	2.0957851	2.964294	-5.0621614	92.91	41.9	51	10.542673	5.0788517	19.682306	-20.03754	10.542819	5.08198	20.564709	-20.193083	-11.061033	0.9857357	2793.765550136566
800	8.209138	5.9209213	29.695915	-8.144637	0.43443298	6.01509	5.722836	-11.308674	95.83	25.2	92	10.880215	4.646253	19.287321	-11.591987	10.88049	4.6460595	19.410192	-10.240737	-11.375839	1.0585105	3213.9188511371613
900	8.471386	4.8450613	25.253473	-2.1820192	14.097305	1.5154115	15.513456	10.384561	86.25	47.1	85	9.825129	4.913381	19.481947	-13.904391	9.824944	4.9160132	19.345371	-13.707247	-10.32935	1.0245842	3601.6618700027466
1000	8.833534	6.003566	31.408018	-8.82871	11.950693	2.7104402	16.13609	7.4280624	95.47	52.0	91	10.102607	5.1304045	20.125427	-8.489987	10.102765	5.1313105	20.15964	-7.945011	-10.5937	0.79441696	4030.0634911060333
1100	-8.668359	14.949572	16.95918	-44.04673	8.957662	5.1629376	13.345379	-5.9866962	44.53	42.4	49	3.77889	9.498316	20.140951	-40.706463	3.7805636	9.500879	19.895826	-42.329227	-4.2579284	4.1259327	4250.973573446274
1200	5.863869	9.645223	18.628376	-26.004625	-15.694864	12.075034	16.903475	-29.702452	40.45	33.0	13	-2.9557085	6.633185	18.722351	-35.53819	-2.955891	6.628889	19.44429	-34.322346	2.5260596	3.0331075	4451.142241239548
1300	3.4051385	10.423501	21.736746	-24.239183	-8.986997	7.619273	13.294981	-16.166548	39.05	15.8	42	0.43727887	5.215663	13.48859	-24.826815	0.4389326	5.2084527	13.833719	-24.742098	-0.7536807	1.4081473	4639.162696838379
1400	8.798905	8.189263	19.654448	-13.689433	0.76204777	9.311493	8.098867	-23.438046	41.6	29.3	21	0.7176671	4.597828	13.561129	-20.28298	0.7174534	4.598501	13.852439	-20.021702	-0.93414825	0.87980956	4842.576569080353
1500	4.861393	7.8116865	19.754974	-22.414463	12.096121	0.57419175	12.838733	10.68967	33.04	41.5	18	0.6354322	3.5347798	10.065074	-19.39371	0.6362326	3.5318959	10.653692	-20.090847	-0.87439024	0.60539776	5014.5262660980225
