Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
50	3.3237638	100.03721	100.50312	-101.85375	-100.368195	0.28562593	-100.11445	-100.82119	85.14	29.444445	4257	0.2220878	0.58721393	2.1792	-3.4830601	0.2281924	0.61733663	2.1086338	-3.2237968	5706.2397	222.29701	174.885422706604
100	-64.99605	68.66957	99.27937	-102.62349	-22.873283	78.352486	99.11465	-100.76954	94.88	147.11111	9001	-0.5320261	1.0126637	2.2666862	-5.469164	-0.5714013	1.1103474	2.300556	-5.65648	4164.5586	217.42575	410.0147125720978
150	-26.793701	86.759224	100.00914	-101.7551	77.125595	62.698963	99.46286	-100.213684	124.82	139.11111	15242	-1.8276516	0.7044273	1.6989932	-7.261785	-1.8744283	0.7481294	0.9906235	-7.447795	2459.5037	133.53156	701.2478563785553
200	-26.72865	93.62654	100.66781	-101.80805	76.94284	63.149807	99.5416	-101.671	95.04	140.11111	19994	-2.6194258	0.76878995	4.693416	-7.8991456	-2.6411123	0.84915483	4.2223177	-8.239078	2042.1288	168.38371	934.8469166755676
250	-40.82973	91.72792	100.056656	-101.80457	76.67343	62.73643	99.255844	-100.77005	67.08	141.66667	23348	-3.2984548	0.98646814	6.6984596	-9.134579	-3.3215775	1.1202018	7.050993	-9.452429	1887.7865	231.5411	1114.18692612648
300	-6.8709483	96.836586	100.0	-101.72252	76.87544	63.14609	99.61549	-101.72693	109.48	150.0	28822	-4.095689	1.1557585	6.7505617	-10.637266	-4.1414413	1.353535	7.186532	-11.341465	1560.6073	214.75598	1379.9335992336273
350	-20.882675	98.17396	100.0	-102.33484	54.685207	49.546616	99.61764	-1.0555125	81.22	235.33333	32883	-4.380266	1.4871553	3.2604375	-12.207796	-4.4081497	1.6185701	3.8498588	-12.828335	1415.1448	220.04234	1614.1238718032837
400	1.3763939	99.15866	100.35773	-101.62118	98.81828	0.48868027	99.50494	98.00099	92.64	177.11111	37515	-4.851444	1.5561085	4.9519925	-12.963597	-4.85185	1.6711407	4.38272	-13.31373	1275.1617	215.42896	1850.2885372638702
450	-16.722857	96.75921	100.21525	-101.65745	99.21902	0.26601753	99.62425	98.702065	86.24	164.88889	41827	-5.13294	1.5163175	4.2320685	-13.775497	-5.1252327	1.6178229	3.8074486	-14.711432	937.16516	198.5993	2069.4134566783905
500	-12.740022	99.30165	100.374084	-101.662025	99.2643	0.57910913	99.872765	97.97303	83.28	179.44444	45991	-5.849411	2.0042586	5.440849	-15.218631	-5.881898	2.231387	8.776088	-15.935991	928.57245	223.45451	2286.7182977199554
550	-28.825315	96.09845	100.26205	-101.79446	77.25722	41.549946	99.9722	-0.4954567	73.56	232.0	49669	-6.473704	2.8633168	5.136312	-16.528814	-6.533124	3.0009546	8.8590355	-17.027365	1081.36	236.25656	2500.489377975464
600	15.33048	98.86533	100.144165	-101.64965	65.53714	47.017525	99.21086	-1.9166359	94.98	217.77777	54418	-6.6991563	3.147473	1.2876034	-17.842299	-6.7184706	3.187252	-1.1566699	-18.10868	950.5612	230.29376	2751.215933561325
650	7.079967	99.6925	100.2259	-101.830376	99.30451	0.20823142	99.75811	99.076546	89.54	143.44444	58895	-5.9808064	3.229924	16.30901	-19.143976	-5.9864902	3.2252855	15.976193	-19.598679	933.97925	220.59003	2970.2185792922974
700	-8.822803	99.79969	100.3665	-101.79962	99.16488	0.42504966	100.077835	98.3892	85.12	154.33333	63151	-6.738842	4.360987	17.677288	-20.51024	-6.7706165	4.359688	16.302122	-20.881733	936.2234	239.74878	3183.8666381835938
750	11.277813	99.287895	100.02872	-101.76487	54.833904	83.276825	99.51074	-101.7159	88.0	156.33333	67551	-6.8221054	4.4376984	17.66284	-21.72941	-6.8508234	4.4454455	14.201948	-21.970121	850.10376	221.02498	3403.6794679164886
800	7.167241	99.84065	100.63631	-102.24995	76.83092	63.137054	99.36884	-101.7472	102.28	133.77777	72665	-6.508996	4.4650455	17.476963	-22.726412	-6.5262294	4.413282	19.747063	-23.025383	740.3485	192.18451	3644.5675342082977
850	-20.787004	97.98733	100.132744	-101.78617	65.80199	66.51401	99.620384	-100.88633	74.2	151.55556	76375	-7.581777	5.1597667	17.652203	-23.617289	-7.5910234	5.1691365	19.838655	-23.7221	918.0297	199.67729	3837.1619703769684
900	-6.6341057	98.91581	100.121864	-101.66911	99.19327	0.18100587	99.53781	98.939964	82.38	132.33333	80494	-8.516564	5.0871515	14.029368	-24.6765	-8.510931	4.9297276	17.392122	-24.805914	882.3079	234.22913	4045.4393906593323
