Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
50	-7.3298693	3.696682	-1.4198058	-17.366835	-9.720846	3.4839487	-4.5270114	-14.672623	73.92	40.0	3696	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	21160.078	1000000.0	156.19547605514526
100	-8.518266	5.746118	0.0	-27.33597	-11.99681	4.3792305	-7.6264977	-22.873507	54.04	60.0	6398	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	7048.596	1000000.0	285.2039659023285
150	-10.303189	7.8905253	0.0	-38.298252	-17.661215	6.078558	-4.7442164	-25.860226	109.6	219.55556	11878	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	5108.5776	1000000.0	569.0137524604797
200	-7.7456713	5.4974413	-0.027095059	-22.581482	-14.669966	4.1387453	-7.9459624	-20.814814	94.64	95.333336	16610	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	2447.6497	1000000.0	787.4824154376984
250	-7.771798	4.37767	0.0	-19.546759	-14.516255	2.2953894	-10.74984	-18.82932	89.46	117.77778	21083	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	2047.7485	1000000.0	1002.0958847999573
300	-7.311894	3.5195935	0.0	-14.833179	-14.590999	2.8957546	-11.482186	-20.733145	104.2	150.55556	26293	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1271.0554	1000000.0	1255.1555655002594
350	-8.624353	4.6957183	0.0	-24.383263	-13.844448	3.400831	-5.860875	-19.823185	109.56	123.77778	31771	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1014.6278	1000000.0	1510.7516839504242
400	-7.0579896	3.603087	0.0	-17.516201	-12.379418	3.0430295	-5.9119654	-15.760625	76.72	109.22222	35607	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1118.5446	1000000.0	1698.6843664646149
450	-8.160846	4.8993573	0.0	-21.605116	-15.057441	2.596469	-10.820693	-20.26611	90.76	184.55556	40145	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1184.3472	1000000.0	1936.602835893631
500	-8.25486	4.9723587	0.0	-24.755835	-12.354403	1.8187971	-9.225358	-15.277219	99.58	130.0	45124	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	919.0471	1000000.0	2175.9193732738495
550	-8.063399	4.819172	0.0	-19.646315	-13.649312	1.7569788	-11.155614	-16.609236	84.58	135.88889	49353	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	995.6708	1000000.0	2388.1905426979065
600	-7.200394	3.62826	0.0	-20.112007	-14.2090645	3.073129	-7.5688863	-18.547592	83.4	131.55556	53523	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1033.6056	1000000.0	2596.642727136612
650	-7.7019987	4.3181744	0.0	-22.270727	-12.067782	1.8438264	-9.412775	-14.724297	85.9	124.0	57818	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1128.6729	1000000.0	2807.6837027072906
700	-7.9925537	4.6412554	0.0	-19.841644	-13.039919	2.2227333	-9.319509	-17.16776	89.02	140.44444	62269	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	1019.36566	1000000.0	3029.5965051651
750	-8.140833	4.2441955	0.0	-17.566584	-11.834066	2.1994724	-8.739501	-16.22141	95.28	130.44444	67033	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	847.81226	1000000.0	3260.6822457313538
800	-7.306368	3.9267266	0.0	-16.85567	-12.757442	2.7681527	-9.795283	-19.914722	87.46	137.66667	71406	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	744.625	1000000.0	3478.644641160965
850	-7.464795	3.3772988	0.0	-15.251975	-12.280682	2.0038333	-9.599117	-15.590456	92.92	137.88889	76052	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	778.7192	1000000.0	3706.161302089691
900	-7.3740664	3.5065715	0.0	-18.04938	-11.546254	1.763355	-9.190026	-14.655678	79.24	113.77778	80014	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	844.4677	1000000.0	3898.609384059906
950	-8.120254	3.9305634	0.0	-17.09087	-11.912416	2.4148552	-8.820621	-15.66512	80.32	110.111115	84030	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	888.78156	1000000.0	4091.8889927864075
1000	-7.700047	4.0246873	0.0	-19.981426	-13.063544	2.9911244	-9.611596	-18.050976	87.08	144.77777	88384	1000000.0	0.0	1000000.0	1000000.0	1000000.0	0.0	1000000.0	1000000.0	754.60815	1000000.0	4308.123705148697
