Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
50	4.4294176	111.04668	123.93649	-114.590805	-103.207436	1.7166677	-100.457985	-106.44595	79.62	37.0	3981	-0.17031977	0.8890498	1.6979244	-5.422078	-0.207338	0.9303538	2.0527592	-5.5307875	2449.423	222.29875	171.79646801948547
100	22.351036	108.97299	124.12996	-112.090065	-102.94375	2.7739344	-98.223915	-106.942505	87.54	43.555557	8358	-0.42568034	1.7008713	5.2651415	-8.216642	-0.46042496	1.8765404	5.6257567	-8.194532	1374.4515	243.17584	360.37910437583923
150	-15.893076	106.490005	120.05559	-110.64458	48.758404	105.76066	125.49253	-101.08874	88.74	131.44444	12795	-0.40981227	1.799821	6.5404673	-9.882285	-0.44216377	1.945579	6.116	-9.968031	1362.4203	213.71825	584.8681149482727
200	0.49024123	106.513855	120.76377	-113.25765	124.31327	2.056816	126.73342	120.94023	113.4	168.22223	18465	-2.032559	1.4249399	4.024519	-10.282045	-2.0306096	1.421034	4.894034	-10.637018	1293.2845	195.49715	869.6628351211548
250	-16.136686	107.64455	119.97674	-112.905014	89.06004	71.58351	126.54998	-94.38266	82.68	178.66667	22599	-2.7870593	1.8314927	7.2006364	-12.185848	-2.7967873	1.8398359	6.630206	-12.40531	945.1047	195.66772	1095.3358135223389
300	34.973545	105.23738	123.07183	-114.05325	99.0906	71.81853	127.03795	-103.96471	102.52	132.55556	27725	-2.7255342	2.230241	7.82664	-13.539685	-2.7387855	2.2506394	7.1439943	-13.654464	738.26184	204.39891	1347.5988581180573
350	9.1416235	109.408676	120.157524	-116.39494	124.633514	2.1299367	126.84262	121.36246	98.5	139.33333	32650	-2.5383537	2.5488553	11.718181	-14.344439	-2.5373166	2.553921	11.0404625	-14.466348	692.8689	203.67285	1593.6554863452911
400	-9.648469	108.23775	120.18648	-113.608315	73.899124	93.857155	126.54968	-102.962654	67.64	114.22222	36032	-3.3471375	3.2821202	9.724762	-15.509732	-3.3352268	3.2166154	9.151104	-15.5738535	644.30096	212.50415	1770.4474232196808
450	16.63679	110.68232	122.226166	-115.90108	124.40325	2.1447542	126.75904	121.180504	93.0	123.44444	40682	-3.6911798	3.8935382	2.603839	-17.055325	-3.6855345	3.822219	3.5670662	-17.16266	659.9797	242.99507	2000.7267124652863
500	-9.744828	109.868935	122.92857	-115.33051	124.61724	2.2191675	126.636955	121.127144	69.62	155.0	44163	-4.5036354	4.2324214	7.021355	-17.636105	-4.5255527	4.223655	9.226477	-17.761297	739.53894	233.66129	2193.481592655182
550	12.506863	109.15298	121.39075	-115.04893	124.87054	1.6016641	126.54598	122.52648	84.36	151.33333	48381	-5.343423	5.1471453	5.256244	-19.193012	-5.3503304	5.1952043	7.113323	-19.389091	573.3839	260.11838	2415.1484858989716
600	1.8369534	109.46414	123.59182	-112.476105	124.620766	1.757083	126.49511	121.821075	95.94	160.44444	53178	-4.7740746	5.06965	2.74903	-20.369637	-4.782552	5.1078396	3.369294	-20.61535	539.9489	219.53172	2664.5413784980774
650	-1.0320439	110.246635	122.1888	-114.363785	124.58957	1.9578837	126.63074	121.60686	81.78	135.44444	57267	-6.307073	5.8467903	14.574776	-21.599112	-6.317611	5.870077	10.181182	-21.872517	579.2419	201.44025	2877.3330450057983
700	26.11784	108.214615	121.29758	-113.69804	124.45124	2.0973172	126.249695	121.04915	99.94	129.11111	62264	-6.232372	5.622746	20.379313	-22.835884	-6.2633533	5.699767	18.227037	-22.76791	577.6529	218.6105	3125.5553426742554
750	21.997398	108.32055	122.593605	-112.8822	124.517876	2.0324469	126.89912	121.38052	87.84	134.55556	66656	-5.6709266	5.7790117	19.73858	-24.00438	-5.669358	5.760418	16.907228	-23.908741	472.29813	213.37172	3350.625899553299
800	31.084955	107.83752	123.862434	-114.227776	99.48054	70.12226	126.17132	-98.78786	89.0	117.44444	71106	-4.9334903	6.016865	2.5910184	-24.983248	-4.934576	6.035289	2.6261916	-24.892328	421.53888	228.08858	3572.732667207718
850	-22.913784	106.84675	121.322044	-114.421486	124.526855	2.1341329	126.69741	121.36457	61.66	132.55556	74189	-5.3219995	7.40411	7.967666	-26.074783	-5.330022	7.397049	5.853204	-26.014713	449.5125	260.96182	3744.1105296611786
900	-9.3201	108.76121	121.96778	-110.8357	124.38475	1.9681343	126.22498	121.218216	73.14	132.77777	77846	-7.731857	9.039888	13.867506	-27.761702	-7.7202177	9.118181	13.465209	-27.705387	528.9587	282.196	3939.253848552704
950	-6.167432	108.40626	118.5092	-110.64405	124.69097	1.7759122	126.42131	122.15522	74.16	149.55556	81554	-7.179076	7.7125964	12.98373	-28.446266	-7.170096	7.727994	11.705606	-28.53659	474.24783	261.31342	4141.029891014099
1000	30.089642	106.677246	121.077156	-117.872345	113.69837	30.544737	126.393486	27.5004	89.5	163.11111	86029	-6.923237	7.93415	20.783194	-29.523619	-6.908255	8.008542	21.34407	-29.608152	396.45453	252.36192	4374.2980535030365
1050	15.427866	108.9367	122.0133	-118.186554	124.76279	2.0375853	126.653946	121.34693	82.88	144.33333	90173	-6.093028	7.4381185	21.66584	-30.053453	-6.111818	7.610143	21.72419	-30.017212	380.4296	235.68156	4588.8045699596405
1100	-4.937136	109.819885	121.312546	-116.33593	124.60695	2.2397752	126.527596	120.935715	77.34	135.33333	94040	-8.176044	9.363219	5.0197253	-30.92352	-8.191784	9.482463	5.8012624	-30.838373	445.34268	247.69727	4789.708675861359
1150	38.37439	104.54491	122.42016	-113.04205	99.20252	73.38909	126.76868	-108.30007	100.02	128.11111	99041	-8.36972	8.873686	8.761131	-31.599192	-8.3812895	9.095675	8.109073	-31.346249	374.6516	228.07779	5034.011433362961
1200	4.204935	110.35962	122.45514	-111.59475	124.48341	1.9901484	126.1878	121.09409	77.04	130.11111	102893	-8.235011	8.905258	2.9736068	-32.494816	-8.236604	8.966698	2.290489	-32.310253	309.0741	215.81416	5232.744393825531
1250	17.80592	108.835785	122.068886	-115.14987	124.63681	1.9041018	126.50516	121.63105	86.6	136.33333	107223	-9.989124	10.195973	2.7945848	-33.756115	-9.998975	10.360844	3.2537053	-33.504784	357.8804	245.71263	5452.604848861694
1300	16.461786	109.955635	119.58078	-115.244774	124.28925	2.2411246	127.06113	121.143394	84.52	115.22222	111449	-8.920229	10.155713	2.53639	-34.480473	-8.915447	10.199111	2.585901	-34.197727	393.58203	209.20982	5662.111925601959
1350	25.488348	107.08484	122.5034	-111.95795	124.456406	1.9354187	126.267105	121.70653	87.1	133.0	115804	-10.4397745	12.13033	5.563898	-35.72107	-10.452765	12.164774	4.9254665	-35.38797	303.9368	211.75725	5882.06635260582
1400	-27.107428	106.25419	122.02332	-114.39293	124.32218	2.2693129	126.295235	121.068	66.52	107.0	119130	-9.8803835	13.409104	17.997566	-36.58943	-9.879416	13.433687	10.062312	-36.28245	313.98718	242.789	6053.392898321152
1450	-11.102741	107.916466	123.9291	-113.29894	124.35547	2.1149292	127.06068	121.07659	74.44	123.888885	122852	-12.039459	14.709092	21.42768	-37.86499	-12.034906	14.83579	16.245993	-37.63486	337.11847	227.26332	6245.376457929611
1500	8.031775	110.67773	121.29302	-115.9035	124.71928	2.0921888	126.78198	121.70241	83.3	147.22223	127017	-11.294652	15.453113	37.661556	-38.94894	-11.273583	15.4806795	36.1312	-38.769722	302.664	202.5972	6462.030035972595
50	-102.36833	29.260176	100.0	-120.773705	-103.19	2.4679625	-100.25964	-106.99067	46.16	38.555557	129325	-13.894542	19.3582	41.877254	-43.296383	-13.892143	19.467642	40.71891	-42.927402	-2.2018075	218.51398	6568.411249637604
100	-106.56212	3.2360344	-100.0	-114.36531	-103.42482	2.1861072	-101.292694	-106.675354	38.46	36.666668	131248	-30.458775	14.37948	42.715572	-46.37598	-30.427185	14.42554	43.27816	-46.568577	-23.42258	250.11496	6659.604232788086
150	-106.12455	3.5367742	-100.0	-113.049034	-103.70011	2.0645902	-102.068375	-106.686264	33.88	36.0	132942	-32.365944	20.31067	44.427425	-51.32469	-32.380344	20.443167	44.4797	-51.34354	-20.963688	288.86172	6741.89293384552
200	-106.44501	3.2442436	-100.0	-113.18803	-104.14368	2.2362425	-100.6204	-106.87257	33.62	35.22222	134623	-37.946903	22.86272	44.805756	-55.665504	-37.93566	22.874172	44.474888	-55.683533	-25.657368	190.49956	6823.578968763351
250	-107.17963	3.464688	-100.0	-116.0422	-104.24645	1.818245	-102.165565	-106.8576	37.98	36.444443	136522	-46.912075	19.994638	40.901035	-60.563324	-46.911446	19.990309	39.565	-60.61968	-18.522783	129.287	6913.763627529144
300	-106.45626	3.7043073	-100.0	-114.6238	-103.92913	1.9581822	-102.03107	-106.71247	33.24	37.666668	138184	-52.456787	18.017532	21.659306	-64.570984	-52.46699	18.03502	21.926489	-64.53685	-29.078182	98.51166	6995.297305822372
350	-106.595856	3.5066292	-100.0	-112.77238	-103.933	1.958375	-102.155846	-106.83815	37.54	35.555557	140061	-56.343906	18.296799	21.549353	-68.939095	-56.337273	18.295269	19.699564	-69.021194	-30.459187	74.56513	7084.530194044113
400	-106.702126	3.3159597	-99.49104	-114.295784	-103.07359	2.5388908	-100.16564	-106.720535	36.28	36.11111	141875	-60.42579	18.496033	21.5481	-72.97273	-60.430664	18.480139	17.679659	-73.04853	-38.190002	55.44728	7171.627578020096
450	-106.52165	3.4397826	-100.0	-115.68716	-103.546524	2.2338238	-101.294075	-106.897736	36.38	35.666668	143694	-65.87361	15.470737	25.50723	-76.98533	-65.880066	15.469732	15.436182	-76.99792	-39.705025	41.213028	7258.545210361481
500	-106.34393	3.3107028	-100.0	-113.961784	-103.578445	2.2156692	-101.092026	-106.87622	41.46	37.333332	145767	-68.66285	14.753207	21.679916	-81.35954	-68.66558	14.752517	15.857365	-81.26351	-35.319687	29.103462	7355.634724617004
550	-107.302444	3.4224505	-100.0	-116.65557	-103.50632	2.4197748	-101.18934	-106.94093	37.48	35.555557	147641	-71.698845	13.652835	7.733533	-85.37919	-71.70269	13.644379	11.123666	-85.235146	-38.571754	20.016958	7444.757129192352
600	-106.838524	3.5871718	-100.0	-113.236176	-103.72836	2.0936265	-101.69765	-106.962944	38.1	35.88889	149546	-75.28297	11.546267	-6.440913	-88.14656	-75.279366	11.542388	-5.1174746	-87.737335	-48.62723	15.62028	7535.221443891525
650	-106.27911	3.3735	-100.0	-113.12092	-103.77482	2.2720966	-101.23007	-107.081825	34.08	36.88889	151250	-78.45023	9.54596	-43.70968	-90.348755	-78.444214	9.529769	-42.521133	-90.35058	-55.494476	12.415222	7618.525961399078
700	-107.49423	3.8624442	-100.0	-116.685104	-103.74301	1.9609165	-102.17172	-106.750656	33.64	36.11111	152932	-80.67259	8.968474	-44.206463	-92.35699	-80.6778	8.960817	-44.567238	-92.07452	-68.14094	9.087483	7700.8343505859375
750	-106.782364	3.3671148	-100.0	-113.551636	-103.62099	2.2244754	-101.74475	-106.97419	38.78	35.555557	154871	-82.67208	9.0394745	-51.515865	-94.496155	-82.670235	9.039368	-50.30853	-94.351944	-73.33071	6.3420024	7792.6581954956055
800	-105.8781	3.048228	-100.0	-111.56903	-104.150444	2.1098754	-102.13301	-107.16731	40.84	36.333332	156913	-83.32954	10.14799	-36.14091	-96.258095	-83.327644	10.150486	-34.305836	-96.14641	-80.86042	5.0462947	7888.732250213623
850	-106.56945	4.1908197	-100.0	-115.5334	-104.63832	2.062984	-102.438385	-107.549225	34.48	38.333332	158637	-82.63166	10.693553	-37.05595	-97.04706	-82.62574	10.708472	-36.896603	-97.150024	-81.8127	7.61519	7973.296864748001
900	-106.51266	3.7072637	-100.0	-115.44716	-104.54389	2.0897944	-102.31172	-107.53361	36.4	37.555557	160457	-85.32195	9.816892	-37.610016	-97.86431	-85.32253	9.827751	-36.74458	-97.886154	-79.7014	5.5571156	8061.376767158508
950	-106.216095	3.6686375	-100.0	-114.76009	-103.96339	3.261056	-97.83339	-107.92401	37.76	37.77778	162345	-86.87647	8.962367	-39.620293	-98.32951	-86.879524	8.967289	-39.11315	-98.334	-79.39697	4.049636	8151.946273565292
1000	-107.5125	5.094368	-100.0	-119.96884	-102.21968	1.026595	-100.60237	-104.081345	40.88	28.777779	164389	-87.06508	9.096449	-49.585205	-98.72122	-87.06846	9.108808	-49.191265	-98.58596	-69.53254	4.60279	8245.690541505814
1050	-106.13287	4.2929893	-100.0	-116.86442	-100.460785	1.350505	-98.63136	-102.72775	39.22	35.77778	166350	-85.44139	8.245749	-10.292661	-98.76354	-85.44306	8.246417	-4.0631886	-98.664825	-74.80516	8.939394	8338.546777486801
1100	-109.01002	4.750041	-100.0	-121.335556	-101.75496	1.4728553	-99.16492	-104.86476	38.52	42.88889	168276	-83.58054	7.4272633	-56.435432	-98.96091	-83.57803	7.43367	-56.266808	-98.90717	-73.74506	12.638555	8432.38702249527
1150	-107.529236	3.8709412	-99.05077	-116.3339	-102.98732	2.9053082	-98.560524	-107.62202	38.88	31.333334	170220	-82.758835	5.628165	-58.556717	-99.00182	-82.7744	5.6389546	-58.00211	-98.86428	-76.23296	12.382411	8523.824315786362
1200	-108.38951	4.671055	-93.865776	-121.21513	-102.29723	3.289515	-97.44199	-107.57029	40.6	53.77778	172250	-84.13968	6.726975	-71.63492	-96.84147	-84.14229	6.7374954	-71.45291	-96.73038	-78.97642	8.772301	8624.84135890007
1250	-107.722755	4.0419946	-100.0	-118.61051	-101.812195	1.419053	-100.21024	-105.5202	35.66	37.555557	174033	-85.70511	7.650402	-69.98081	-97.47478	-85.70358	7.6511526	-69.897964	-97.4888	-80.73636	7.307385	8712.006863117218
1300	-107.625275	4.1197515	-99.15595	-122.531006	-100.48987	2.8092735	-94.842865	-103.85916	38.24	52.77778	175945	-87.119156	7.54943	-69.638405	-97.78139	-87.1152	7.5607176	-69.52567	-98.100235	-81.67984	7.018104	8808.414095878601
1350	-107.24301	4.4984565	-95.80713	-116.87521	-102.58616	2.707891	-97.329185	-107.097755	37.3	31.0	177810	-87.987335	6.9801683	-70.61302	-97.976265	-87.986176	6.9962244	-70.557884	-98.08201	-81.30956	6.6881495	8896.590989351273
1400	-107.017815	4.4794	-97.3678	-117.903076	-101.012566	3.5978653	-94.34392	-107.024734	34.0	46.555557	179510	-88.539764	6.716138	-70.27999	-98.218155	-88.54127	6.735241	-70.37363	-98.55111	-81.6983	6.0864506	8983.377934932709
